Output, Typename, NumOps, NumCols, Select, FullBitmap, PartialBitmap, SelVec
Individual, int64, 20, 10, 0, 1538.59, 53.2388, 31.0832
Individual, int64, 20, 10, 0.05, 1536.69, 828.84, 687.893
Individual, int64, 20, 10, 0.1, 1542.2, 1322.05, 1165.76
Individual, int64, 20, 10, 0.15, 1560.43, 1848.64, 1681.49
Individual, int64, 20, 10, 0.2, 1562.79, 2353.86, 1957.2
Individual, int64, 20, 10, 0.25, 1545.35, 2830.62, 2567.27
Individual, int64, 20, 10, 0.3, 1560.7, 3037.99, 2904.33
Individual, int64, 20, 10, 0.35, 1571.78, 3566.16, 3242.81
Individual, int64, 20, 10, 0.4, 1561.16, 3820.11, 3467.81
Individual, int64, 20, 10, 0.45, 1553.73, 4040.48, 3920.63
Individual, int64, 20, 10, 0.5, 1546.67, 4497.37, 4154.88
Individual, int64, 20, 10, 0.55, 1538.75, 4805, 4489.91
Individual, int64, 20, 10, 0.6, 1563.11, 5162.14, 4852.07
Individual, int64, 20, 10, 0.65, 1571.09, 5583.46, 5278.35
Individual, int64, 20, 10, 0.7, 1559.78, 5983.37, 5746.07
Individual, int64, 20, 10, 0.75, 1562.95, 6383.94, 6041.85
Individual, int64, 20, 10, 0.8, 1555.29, 6774.78, 6437.52
Individual, int64, 20, 10, 0.85, 1535.38, 7085.58, 6827.23
Individual, int64, 20, 10, 0.9, 1524.33, 7541.95, 7112.99
Individual, int64, 20, 10, 0.95, 1542.52, 7842.88, 7522.47
Individual, int64, 20, 10, 1, 1573.56, 8053.89, 7902.56
Individual, int64, 20, 9, 0, 1466.4, 53.4404, 30.9364
Individual, int64, 20, 9, 0.05, 1468.21, 683.842, 613.023
Individual, int64, 20, 9, 0.1, 1491.13, 1273.98, 1240.19
Individual, int64, 20, 9, 0.15, 1477.26, 1861.71, 1854.6
Individual, int64, 20, 9, 0.2, 1472.6, 2375.87, 2159.14
Individual, int64, 20, 9, 0.25, 1459.45, 2700.89, 2650
Individual, int64, 20, 9, 0.3, 1457.41, 3108.61, 3179.13
Individual, int64, 20, 9, 0.35, 1461.65, 3392.25, 3417.76
Individual, int64, 20, 9, 0.4, 1469.69, 3949.71, 3761.77
Individual, int64, 20, 9, 0.45, 1472.65, 4256.05, 4285
Individual, int64, 20, 9, 0.5, 1465.44, 4532.66, 4604.56
Individual, int64, 20, 9, 0.55, 1481.73, 5174.61, 5073.45
Individual, int64, 20, 9, 0.6, 1463.91, 5464.49, 5406.37
Individual, int64, 20, 9, 0.65, 1446.62, 5878.48, 5910.5
Individual, int64, 20, 9, 0.7, 1441.91, 6265.58, 6243.36
Individual, int64, 20, 9, 0.75, 1442.22, 6524.12, 6494.02
Individual, int64, 20, 9, 0.8, 1466.22, 7040.27, 7020.86
Individual, int64, 20, 9, 0.85, 1481.79, 7348.31, 7579.73
Individual, int64, 20, 9, 0.9, 1464.21, 7722.24, 7879.42
Individual, int64, 20, 9, 0.95, 1462.37, 8230.51, 8395.4
Individual, int64, 20, 9, 1, 1488.27, 8455.4, 8834.83
Individual, int64, 20, 8, 0, 1359.55, 62.1128, 29.4526
Individual, int64, 20, 8, 0.05, 1358.56, 662.17, 529.343
Individual, int64, 20, 8, 0.1, 1363.44, 1148, 1034.56
Individual, int64, 20, 8, 0.15, 1349.03, 1699.59, 1406.73
Individual, int64, 20, 8, 0.2, 1341.78, 2159.58, 1992.5
Individual, int64, 20, 8, 0.25, 1338.27, 2628, 2268.7
Individual, int64, 20, 8, 0.3, 1332.34, 3108.84, 2551.23
Individual, int64, 20, 8, 0.35, 1357.51, 3383.2, 2880.51
Individual, int64, 20, 8, 0.4, 1365.96, 3881.77, 3096.91
Individual, int64, 20, 8, 0.45, 1352.05, 4080.08, 3638.96
Individual, int64, 20, 8, 0.5, 1349.95, 4472.36, 3906.06
Individual, int64, 20, 8, 0.55, 1377.95, 4881.29, 4182
Individual, int64, 20, 8, 0.6, 1363.08, 5123.31, 4473.38
Individual, int64, 20, 8, 0.65, 1362.34, 5468.6, 4869.25
Individual, int64, 20, 8, 0.7, 1347.39, 5812.79, 5272.74
Individual, int64, 20, 8, 0.75, 1348.08, 6230.15, 5609.8
Individual, int64, 20, 8, 0.8, 1354.06, 6604.7, 5988.67
Individual, int64, 20, 8, 0.85, 1352.37, 7026.19, 6274.55
Individual, int64, 20, 8, 0.9, 1362.25, 7450.37, 6782.77
Individual, int64, 20, 8, 0.95, 1365.39, 7700.35, 7129.73
Individual, int64, 20, 8, 1, 1363.6, 7955.15, 7488.08
Individual, int64, 20, 7, 0, 1245.64, 99.9574, 29.4477
Individual, int64, 20, 7, 0.05, 1258.57, 576.387, 443.278
Individual, int64, 20, 7, 0.1, 1265.09, 1173.02, 1050.96
Individual, int64, 20, 7, 0.15, 1261.31, 1666.4, 1486
Individual, int64, 20, 7, 0.2, 1259.23, 2214.48, 2070.05
Individual, int64, 20, 7, 0.25, 1266.16, 2615.08, 2369.01
Individual, int64, 20, 7, 0.3, 1256.17, 3074.49, 2632.28
Individual, int64, 20, 7, 0.35, 1248.52, 3365.89, 3057.94
Individual, int64, 20, 7, 0.4, 1242.63, 3640.86, 3460.27
Individual, int64, 20, 7, 0.45, 1250.38, 4094.08, 3760.56
Individual, int64, 20, 7, 0.5, 1252.03, 4353.92, 4136.97
Individual, int64, 20, 7, 0.55, 1270.18, 4728.48, 4458.98
Individual, int64, 20, 7, 0.6, 1257.81, 5027.72, 4558.49
Individual, int64, 20, 7, 0.65, 1260.46, 5475.36, 4943.51
Individual, int64, 20, 7, 0.7, 1266.35, 5757.66, 5506.78
Individual, int64, 20, 7, 0.75, 1265.59, 6056.23, 5659.18
Individual, int64, 20, 7, 0.8, 1256.04, 6381.67, 6003.7
Individual, int64, 20, 7, 0.85, 1254.7, 6787.01, 6318.03
Individual, int64, 20, 7, 0.9, 1257.34, 7280.97, 6798.71
Individual, int64, 20, 7, 0.95, 1258.8, 7602.35, 7073.55
Individual, int64, 20, 7, 1, 1256, 8001.05, 7588.94
Individual, int64, 20, 6, 0, 1161.36, 101.037, 29.3419
Individual, int64, 20, 6, 0.05, 1166.25, 584.959, 473.939
Individual, int64, 20, 6, 0.1, 1159.77, 1110.65, 948.697
Individual, int64, 20, 6, 0.15, 1164.05, 1640.3, 1358.59
Individual, int64, 20, 6, 0.2, 1161.3, 2157.32, 1902.61
Individual, int64, 20, 6, 0.25, 1164.65, 2315.14, 2197.89
Individual, int64, 20, 6, 0.3, 1164.25, 2747.41, 2577.15
Individual, int64, 20, 6, 0.35, 1171.8, 3181.81, 2848.78
Individual, int64, 20, 6, 0.4, 1164.87, 3546.98, 3399.58
Individual, int64, 20, 6, 0.45, 1164.92, 3864.93, 3631.46
Individual, int64, 20, 6, 0.5, 1166.94, 4203.29, 3777.89
Individual, int64, 20, 6, 0.55, 1166.59, 4528.57, 4233.43
Individual, int64, 20, 6, 0.6, 1153.63, 4972.55, 4658.35
Individual, int64, 20, 6, 0.65, 1154.82, 5191.06, 4855.64
Individual, int64, 20, 6, 0.7, 1156.23, 5516.42, 5218.35
Individual, int64, 20, 6, 0.75, 1164.37, 5759.29, 5438.44
Individual, int64, 20, 6, 0.8, 1169.85, 6053.45, 5790.23
Individual, int64, 20, 6, 0.85, 1167.35, 6468.46, 6180.3
Individual, int64, 20, 6, 0.9, 1162.06, 6777.66, 6623.27
Individual, int64, 20, 6, 0.95, 1173.92, 7215.45, 6902.75
Individual, int64, 20, 6, 1, 1171.47, 7671.41, 7320.27
Individual, int64, 20, 5, 0, 1080.29, 50.2292, 29.3199
Individual, int64, 20, 5, 0.05, 1082.89, 618.128, 447.806
Individual, int64, 20, 5, 0.1, 1080.98, 1141.95, 1023.09
Individual, int64, 20, 5, 0.15, 1079.05, 1578.01, 1667.17
Individual, int64, 20, 5, 0.2, 1078.04, 2152.47, 2102.49
Individual, int64, 20, 5, 0.25, 1083.92, 2732.01, 2333.49
Individual, int64, 20, 5, 0.3, 1085.76, 3044.68, 2864.53
Individual, int64, 20, 5, 0.35, 1086.1, 3426, 3173.54
Individual, int64, 20, 5, 0.4, 1084.06, 3873.96, 3725.77
Individual, int64, 20, 5, 0.45, 1083.96, 4111.24, 4093.45
Individual, int64, 20, 5, 0.5, 1088.06, 4482.72, 4507.42
Individual, int64, 20, 5, 0.55, 1088.68, 4909.16, 4892.05
Individual, int64, 20, 5, 0.6, 1084.22, 5344.29, 5182.65
Individual, int64, 20, 5, 0.65, 1086.72, 5721.87, 5444.76
Individual, int64, 20, 5, 0.7, 1084.45, 6065.55, 5627.73
Individual, int64, 20, 5, 0.75, 1082.12, 6466.66, 6317.77
Individual, int64, 20, 5, 0.8, 1080.73, 6775.94, 6710.69
Individual, int64, 20, 5, 0.85, 1088.73, 7402.97, 7234.78
Individual, int64, 20, 5, 0.9, 1085.84, 7724.02, 7627.19
Individual, int64, 20, 5, 0.95, 1087.54, 8209.68, 8154.92
Individual, int64, 20, 5, 1, 1082.68, 8482.73, 8677.9
Individual, int64, 20, 4, 0, 1094.73, 71.9022, 29.3764
Individual, int64, 20, 4, 0.05, 1095.88, 660.69, 510.942
Individual, int64, 20, 4, 0.1, 1095.9, 1114.32, 1056.27
Individual, int64, 20, 4, 0.15, 1098.15, 1678.43, 1524.74
Individual, int64, 20, 4, 0.2, 1100.01, 1992.43, 1961.05
Individual, int64, 20, 4, 0.25, 1100.47, 2483.84, 2577.16
Individual, int64, 20, 4, 0.3, 1098.71, 2845.09, 2927.74
Individual, int64, 20, 4, 0.35, 1098.7, 3447.42, 3231.68
Individual, int64, 20, 4, 0.4, 1100.54, 3708.14, 3815.69
Individual, int64, 20, 4, 0.45, 1102.4, 4162.18, 4104.75
Individual, int64, 20, 4, 0.5, 1098.94, 4551.75, 4468.78
Individual, int64, 20, 4, 0.55, 1100.84, 4995.68, 4768.72
Individual, int64, 20, 4, 0.6, 1098.95, 5375.28, 5236.45
Individual, int64, 20, 4, 0.65, 1098.19, 5657.94, 5623.08
Individual, int64, 20, 4, 0.7, 1096.46, 6213.93, 5903.81
Individual, int64, 20, 4, 0.75, 1098.53, 6562.4, 6380.52
Individual, int64, 20, 4, 0.8, 1098.76, 7054.67, 7054.21
Individual, int64, 20, 4, 0.85, 1100.47, 7373.2, 7162.35
Individual, int64, 20, 4, 0.9, 1098.48, 7801.59, 7717.12
Individual, int64, 20, 4, 0.95, 1100.85, 8201.24, 8109.84
Individual, int64, 20, 4, 1, 1099.11, 8511.43, 8574.77
Individual, int64, 20, 3, 0, 1076.92, 111.362, 29.3029
Individual, int64, 20, 3, 0.05, 1077.87, 537.726, 381.509
Individual, int64, 20, 3, 0.1, 1077.7, 888.234, 796.536
Individual, int64, 20, 3, 0.15, 1078.41, 1465.26, 1383.69
Individual, int64, 20, 3, 0.2, 1078.36, 1841.4, 1708.18
Individual, int64, 20, 3, 0.25, 1078.2, 2182.96, 2190.16
Individual, int64, 20, 3, 0.3, 1078.71, 2568.49, 2422.08
Individual, int64, 20, 3, 0.35, 1079.65, 2891.64, 2886.66
Individual, int64, 20, 3, 0.4, 1079.14, 3354.17, 3133.52
Individual, int64, 20, 3, 0.45, 1078.69, 3677.24, 3561.04
Individual, int64, 20, 3, 0.5, 1078.45, 4082.24, 3856.79
Individual, int64, 20, 3, 0.55, 1078.69, 4261.23, 4169.98
Individual, int64, 20, 3, 0.6, 1078.07, 4709.31, 4467.17
Individual, int64, 20, 3, 0.65, 1078.93, 5079.24, 4880.79
Individual, int64, 20, 3, 0.7, 1078.98, 5368.44, 5210.41
Individual, int64, 20, 3, 0.75, 1079.25, 5765.59, 5682.62
Individual, int64, 20, 3, 0.8, 1079.09, 6063.94, 5948.85
Individual, int64, 20, 3, 0.85, 1078.46, 6312.41, 6323.52
Individual, int64, 20, 3, 0.9, 1079.15, 6817, 6711.09
Individual, int64, 20, 3, 0.95, 1079.05, 7215.44, 7002.13
Individual, int64, 20, 3, 1, 1077.96, 7361.7, 7427.3
Individual, int64, 20, 2, 0, 862.841, 48.5052, 29.4078
Individual, int64, 20, 2, 0.05, 862.885, 320.026, 195.848
Individual, int64, 20, 2, 0.1, 864.763, 570.756, 458.755
Individual, int64, 20, 2, 0.15, 864.633, 897.8, 738.706
Individual, int64, 20, 2, 0.2, 865.925, 1171.94, 1030.15
Individual, int64, 20, 2, 0.25, 866.446, 1525.75, 1192.65
Individual, int64, 20, 2, 0.3, 866.418, 1587.48, 1512.5
Individual, int64, 20, 2, 0.35, 867.509, 1949.95, 1662.82
Individual, int64, 20, 2, 0.4, 868.545, 2261.32, 1853.09
Individual, int64, 20, 2, 0.45, 867.494, 2436.99, 2099.34
Individual, int64, 20, 2, 0.5, 868.193, 2818.61, 2247.92
Individual, int64, 20, 2, 0.55, 867.745, 3013.1, 2448.03
Individual, int64, 20, 2, 0.6, 869.552, 3182.67, 2624.1
Individual, int64, 20, 2, 0.65, 867.893, 3440.93, 2794.44
Individual, int64, 20, 2, 0.7, 868.507, 3575.09, 2960.29
Individual, int64, 20, 2, 0.75, 867.603, 3870.18, 3204.85
Individual, int64, 20, 2, 0.8, 868.476, 4035.46, 3440.89
Individual, int64, 20, 2, 0.85, 867.151, 4341.63, 3617.45
Individual, int64, 20, 2, 0.9, 868.015, 4571.14, 3881.28
Individual, int64, 20, 2, 0.95, 866.599, 4717.63, 4040
Individual, int64, 20, 2, 1, 867.839, 4723.84, 4246.76
Individual, int64, 20, 1, 0, 1000.45, 48.3015, 29.3297
Individual, int64, 20, 1, 0.05, 1004.4, 305.394, 275.907
Individual, int64, 20, 1, 0.1, 1000.39, 605.225, 483.122
Individual, int64, 20, 1, 0.15, 1007.4, 791.145, 773.657
Individual, int64, 20, 1, 0.2, 1002.8, 1116.29, 1013.12
Individual, int64, 20, 1, 0.25, 1007.38, 1538.37, 1178.44
Individual, int64, 20, 1, 0.3, 1002.79, 1738.98, 1524.67
Individual, int64, 20, 1, 0.35, 1007.49, 2066.64, 1704.95
Individual, int64, 20, 1, 0.4, 1003.48, 2078.24, 1896.38
Individual, int64, 20, 1, 0.45, 1007.45, 2561.57, 2134.44
Individual, int64, 20, 1, 0.5, 1002.51, 2775.58, 2295.68
Individual, int64, 20, 1, 0.55, 1007.28, 3148.4, 2733.6
Individual, int64, 20, 1, 0.6, 1003.16, 3424.26, 2845.35
Individual, int64, 20, 1, 0.65, 1006.2, 3633.88, 3135.54
Individual, int64, 20, 1, 0.7, 1002.3, 3942.25, 3373.11
Individual, int64, 20, 1, 0.75, 1006.35, 4153.34, 3577.8
Individual, int64, 20, 1, 0.8, 1002.79, 4377.08, 3849.34
Individual, int64, 20, 1, 0.85, 1007.3, 4686.86, 4109.15
Individual, int64, 20, 1, 0.9, 1002.12, 4898.51, 4247.08
Individual, int64, 20, 1, 0.95, 1007.57, 5134.17, 4550.04
Individual, int64, 20, 1, 1, 1001.1, 5373.53, 4757.08
