TypeName, NumOps, NumCols, Select, CompressUpdate, CompressProject
ArbitraryFull, 40, 1, 0, 1635.63, 1589.81
ArbitraryFull, 40, 1, 0.05, 1636.4, 1589.8
ArbitraryFull, 40, 1, 0.1, 1635.84, 1589.9
ArbitraryFull, 40, 1, 0.15, 1637.81, 1589.67
ArbitraryFull, 40, 1, 0.2, 1635.72, 1589.89
ArbitraryFull, 40, 1, 0.25, 1637.41, 1589.57
ArbitraryFull, 40, 1, 0.3, 1635.48, 1589.74
ArbitraryFull, 40, 1, 0.35, 1637.62, 1589.78
ArbitraryFull, 40, 1, 0.4, 1635.9, 1589.87
ArbitraryFull, 40, 1, 0.45, 1637.83, 1589.54
ArbitraryFull, 40, 1, 0.5, 1635.82, 1590.05
ArbitraryFull, 40, 1, 0.55, 1637.39, 1590.17
ArbitraryFull, 40, 1, 0.6, 1636.86, 1590.04
ArbitraryFull, 40, 1, 0.65, 1638.3, 1590.8
ArbitraryFull, 40, 1, 0.7, 1637.07, 1589.91
ArbitraryFull, 40, 1, 0.75, 1638.18, 1589.86
ArbitraryFull, 40, 1, 0.8, 1636.72, 1590.22
ArbitraryFull, 40, 1, 0.85, 1638.16, 1589.99
ArbitraryFull, 40, 1, 0.9, 1636.29, 1589.79
ArbitraryFull, 40, 1, 0.95, 1638.1, 1589.87
ArbitraryFull, 40, 1, 1, 1636.19, 1590.11
ArbitraryFull, 38, 1, 0, 1555.49, 1512.47
ArbitraryFull, 38, 1, 0.05, 1555.44, 1512.64
ArbitraryFull, 38, 1, 0.1, 1555.54, 1513.11
ArbitraryFull, 38, 1, 0.15, 1557.32, 1512.58
ArbitraryFull, 38, 1, 0.2, 1555.62, 1512.68
ArbitraryFull, 38, 1, 0.25, 1557.41, 1512.47
ArbitraryFull, 38, 1, 0.3, 1555.76, 1512.75
ArbitraryFull, 38, 1, 0.35, 1557.51, 1512.42
ArbitraryFull, 38, 1, 0.4, 1555.94, 1512.59
ArbitraryFull, 38, 1, 0.45, 1557.62, 1512.57
ArbitraryFull, 38, 1, 0.5, 1555.45, 1512.49
ArbitraryFull, 38, 1, 0.55, 1557.78, 1512.74
ArbitraryFull, 38, 1, 0.6, 1556.88, 1512.45
ArbitraryFull, 38, 1, 0.65, 1559.36, 1512.4
ArbitraryFull, 38, 1, 0.7, 1557.07, 1512.61
ArbitraryFull, 38, 1, 0.75, 1559.31, 1512.32
ArbitraryFull, 38, 1, 0.8, 1557.05, 1512.52
ArbitraryFull, 38, 1, 0.85, 1558.57, 1512.49
ArbitraryFull, 38, 1, 0.9, 1556.59, 1512.76
ArbitraryFull, 38, 1, 0.95, 1558.37, 1512.99
ArbitraryFull, 38, 1, 1, 1556.87, 1512.84
ArbitraryFull, 36, 1, 0, 1477.68, 1434.75
ArbitraryFull, 36, 1, 0.05, 1477.46, 1434.4
ArbitraryFull, 36, 1, 0.1, 1477.35, 1435.02
ArbitraryFull, 36, 1, 0.15, 1478.78, 1434.73
ArbitraryFull, 36, 1, 0.2, 1477.89, 1434.85
ArbitraryFull, 36, 1, 0.25, 1480.56, 1434.63
ArbitraryFull, 36, 1, 0.3, 1478.09, 1434.73
ArbitraryFull, 36, 1, 0.35, 1480.44, 1434.62
ArbitraryFull, 36, 1, 0.4, 1478.2, 1434.71
ArbitraryFull, 36, 1, 0.45, 1480.42, 1434.89
ArbitraryFull, 36, 1, 0.5, 1477.85, 1434.77
ArbitraryFull, 36, 1, 0.55, 1480.53, 1434.55
ArbitraryFull, 36, 1, 0.6, 1479.64, 1434.79
ArbitraryFull, 36, 1, 0.65, 1482.32, 1434.56
ArbitraryFull, 36, 1, 0.7, 1479.81, 1434.64
ArbitraryFull, 36, 1, 0.75, 1482.05, 1434.39
ArbitraryFull, 36, 1, 0.8, 1479.83, 1434.7
ArbitraryFull, 36, 1, 0.85, 1482.04, 1434.5
ArbitraryFull, 36, 1, 0.9, 1479.52, 1434.8
ArbitraryFull, 36, 1, 0.95, 1481.13, 1434.62
ArbitraryFull, 36, 1, 1, 1479.02, 1434.75
ArbitraryFull, 34, 1, 0, 1398.15, 1356.75
ArbitraryFull, 34, 1, 0.05, 1398.1, 1356.92
ArbitraryFull, 34, 1, 0.1, 1398.26, 1356.69
ArbitraryFull, 34, 1, 0.15, 1399.11, 1356.56
ArbitraryFull, 34, 1, 0.2, 1398.18, 1356.65
ArbitraryFull, 34, 1, 0.25, 1398.97, 1356.58
ArbitraryFull, 34, 1, 0.3, 1398.28, 1356.53
ArbitraryFull, 34, 1, 0.35, 1399.06, 1356.92
ArbitraryFull, 34, 1, 0.4, 1398.11, 1356.61
ArbitraryFull, 34, 1, 0.45, 1398.83, 1356.84
ArbitraryFull, 34, 1, 0.5, 1398.27, 1356.57
ArbitraryFull, 34, 1, 0.55, 1398.51, 1356.7
ArbitraryFull, 34, 1, 0.6, 1398.16, 1356.78
ArbitraryFull, 34, 1, 0.65, 1398.82, 1357.14
ArbitraryFull, 34, 1, 0.7, 1398.18, 1357.03
ArbitraryFull, 34, 1, 0.75, 1398.78, 1357.72
ArbitraryFull, 34, 1, 0.8, 1398.25, 1357.3
ArbitraryFull, 34, 1, 0.85, 1398.82, 1356.84
ArbitraryFull, 34, 1, 0.9, 1398.39, 1356.72
ArbitraryFull, 34, 1, 0.95, 1398.9, 1356.88
ArbitraryFull, 34, 1, 1, 1397.95, 1356.69
ArbitraryFull, 32, 1, 0, 1320.47, 1278.8
ArbitraryFull, 32, 1, 0.05, 1320.8, 1278.89
ArbitraryFull, 32, 1, 0.1, 1320.76, 1278.91
ArbitraryFull, 32, 1, 0.15, 1321.74, 1278.89
ArbitraryFull, 32, 1, 0.2, 1321.02, 1279
