Select,FullBitmap,PartialBitmap,SelVec
0,8412.69,49.0328,12.2489
5,8420.69,196.586,192.222
10,8412.72,386.335,392.795
15,8418.22,685.571,577.641
20,8400.49,918.41,813.094
25,8409.78,1119.76,950.236
30,8421.75,1188.14,1137.7
35,8424.64,1512.32,1322.63
40,8414.26,1734.44,1526.03
45,8393.61,2084.97,1762.56
50,8404.8,2172.25,2049.64
55,8443.92,2778.93,2287.91
60,8429.44,3331.78,2723.64
65,8437.04,3168,3175.61
70,8399.35,3893.51,3586.07
75,8410.35,4894.31,4111.87
80,8446.73,4922,4859.57
85,8415.54,6149,5528.47
90,8412.61,6673.45,6469.84
95,8439.78,7749.12,7544.74
100,8412.41,8452.32,8443.79
