Select,FullBitmap,PartialBitmap,SelVec
0,1340.03,58.7253,42.369
5,1332.96,208.886,174.234
10,1335.34,400.251,292.841
15,1344.19,534.214,501.56
20,1344.56,675.745,608.202
25,1337.17,797.676,765.526
30,1343.59,1039.68,876.512
35,1350.02,1085.34,1075.01
40,1339.54,1248.48,1130.91
45,1343.43,1365.59,1264.48
50,1351.32,1513.7,1373.36
55,1348.32,1627.96,1504.45
60,1350.83,1741.75,1605.89
65,1380.47,1852.26,1689.5
70,1367.32,1990.88,1772.01
75,1366.91,2062.25,1888.98
80,1358.02,2242.19,1989.62
85,1355.36,2287.78,2051.92
90,1356.57,2411.45,2172.07
95,1368.86,2508.33,2240.62
100,1382.55,2589.03,2340.61
