TypeName, NumOps, NumCols, Select, CompressUpdate, CompressProject
ArbitraryCols, 20, 10, 0, 31.2504, 31.452
ArbitraryCols, 20, 10, 0.05, 465.03, 608.567
ArbitraryCols, 20, 10, 0.1, 1172.63, 1045.66
ArbitraryCols, 20, 10, 0.15, 1721.42, 1405.31
ArbitraryCols, 20, 10, 0.2, 2183.51, 2026.62
ArbitraryCols, 20, 10, 0.25, 2749.17, 2426.1
ArbitraryCols, 20, 10, 0.3, 2975.27, 2988.92
ArbitraryCols, 20, 10, 0.35, 3575.91, 3492.18
ArbitraryCols, 20, 10, 0.4, 4109.98, 3996.37
ArbitraryCols, 20, 10, 0.45, 4640.91, 4572.77
ArbitraryCols, 20, 10, 0.5, 4991.54, 4955.18
ArbitraryCols, 20, 10, 0.55, 5371.92, 5743.23
ArbitraryCols, 20, 10, 0.6, 6247.13, 6067.21
ArbitraryCols, 20, 10, 0.65, 6543.45, 6597.89
ArbitraryCols, 20, 10, 0.7, 7001.37, 7246.06
ArbitraryCols, 20, 10, 0.75, 7479.09, 7581.32
ArbitraryCols, 20, 10, 0.8, 8150.09, 8174.08
ArbitraryCols, 20, 10, 0.85, 8525.6, 8565.35
ArbitraryCols, 20, 10, 0.9, 9049.82, 9154.24
ArbitraryCols, 20, 10, 0.95, 9420.27, 9604.45
ArbitraryCols, 20, 10, 1, 9922.49, 9832.87
ArbitraryCols, 20, 9, 0, 30.1202, 31.5998
ArbitraryCols, 20, 9, 0.05, 510.724, 561.355
ArbitraryCols, 20, 9, 0.1, 909.57, 927.731
ArbitraryCols, 20, 9, 0.15, 1421.84, 1428.9
ArbitraryCols, 20, 9, 0.2, 1820.35, 1869.06
ArbitraryCols, 20, 9, 0.25, 2287.79, 2236.31
ArbitraryCols, 20, 9, 0.3, 2634.21, 2622.47
ArbitraryCols, 20, 9, 0.35, 3142.91, 3196.74
ArbitraryCols, 20, 9, 0.4, 3737.33, 3459.41
ArbitraryCols, 20, 9, 0.45, 3961.04, 3915.44
ArbitraryCols, 20, 9, 0.5, 4408.32, 4416.9
ArbitraryCols, 20, 9, 0.55, 4723.29, 4754.48
ArbitraryCols, 20, 9, 0.6, 5240.52, 5181.88
ArbitraryCols, 20, 9, 0.65, 5733.67, 5549.56
ArbitraryCols, 20, 9, 0.7, 6115.71, 6042.24
ArbitraryCols, 20, 9, 0.75, 6553.67, 6346.59
ArbitraryCols, 20, 9, 0.8, 6977.64, 6889.67
ArbitraryCols, 20, 9, 0.85, 7355.94, 7319.9
ArbitraryCols, 20, 9, 0.9, 7785.64, 7655.91
ArbitraryCols, 20, 9, 0.95, 8274.41, 7990.35
