TypeName, NumOps, NumCols, Select, CompressUpdate, CompressProject
ArbitraryCols, 20, 10, 0, 30.2606, 31.4208
ArbitraryCols, 20, 10, 0.05, 474.302, 599.591
ArbitraryCols, 20, 10, 0.1, 1031.66, 918.594
ArbitraryCols, 20, 10, 0.15, 1305.13, 1322.69
ArbitraryCols, 20, 10, 0.2, 1833.08, 1678.88
ArbitraryCols, 20, 10, 0.25, 2132.82, 1987.07
ArbitraryCols, 20, 10, 0.3, 2520.26, 2390.53
ArbitraryCols, 20, 10, 0.35, 3001.36, 2724.9
ArbitraryCols, 20, 10, 0.4, 3346.88, 3017.88
ArbitraryCols, 20, 10, 0.45, 3666.21, 3423.87
ArbitraryCols, 20, 10, 0.5, 3978.51, 3774.97
ArbitraryCols, 20, 10, 0.55, 4471.75, 3992.89
ArbitraryCols, 20, 10, 0.6, 4758.15, 4516.53
ArbitraryCols, 20, 10, 0.65, 5081.54, 4644.6
ArbitraryCols, 20, 10, 0.7, 5630.38, 5044.3
ArbitraryCols, 20, 10, 0.75, 5955.79, 5462.74
ArbitraryCols, 20, 10, 0.8, 6201.11, 5846.28
ArbitraryCols, 20, 10, 0.85, 6612.74, 6119.41
ArbitraryCols, 20, 10, 0.9, 6964.28, 6351.86
ArbitraryCols, 20, 10, 0.95, 7294.88, 6677.24
ArbitraryCols, 20, 10, 1, 7297.34, 6858.53
ArbitraryCols, 20, 9, 0, 29.8165, 31.1409
ArbitraryCols, 20, 9, 0.05, 432.427, 379.611
ArbitraryCols, 20, 9, 0.1, 822.709, 1008.42
ArbitraryCols, 20, 9, 0.15, 1176.83, 1321.05
ArbitraryCols, 20, 9, 0.2, 1549.68, 1464.32
ArbitraryCols, 20, 9, 0.25, 1925.34, 1939.78
ArbitraryCols, 20, 9, 0.3, 2462.46, 2035.6
ArbitraryCols, 20, 9, 0.35, 2654.95, 2512.49
ArbitraryCols, 20, 9, 0.4, 3044.03, 2655.21
ArbitraryCols, 20, 9, 0.45, 3334.22, 2965.04
ArbitraryCols, 20, 9, 0.5, 3702.75, 3433.85
ArbitraryCols, 20, 9, 0.55, 3933.02, 3592.25
ArbitraryCols, 20, 9, 0.6, 4109.87, 3841.18
ArbitraryCols, 20, 9, 0.65, 4608.1, 4144.52
ArbitraryCols, 20, 9, 0.7, 4752.26, 4360.56
ArbitraryCols, 20, 9, 0.75, 5083.25, 4499.45
ArbitraryCols, 20, 9, 0.8, 5231.59, 4903.57
ArbitraryCols, 20, 9, 0.85, 5556.74, 5104.53
ArbitraryCols, 20, 9, 0.9, 5827.38, 5413.56
ArbitraryCols, 20, 9, 0.95, 6126.02, 5634.59
ArbitraryCols, 20, 9, 1, 6180.2, 6041.42
ArbitraryCols, 20, 8, 0, 30.0689, 31.4129
ArbitraryCols, 20, 8, 0.05, 421.554, 470.872
ArbitraryCols, 20, 8, 0.1, 789.314, 761.027
ArbitraryCols, 20, 8, 0.15, 1166.56, 1028.59
ArbitraryCols, 20, 8, 0.2, 1497.03, 1308.24
ArbitraryCols, 20, 8, 0.25, 1692.54, 1574.13
ArbitraryCols, 20, 8, 0.3, 2097.33, 1834.24
ArbitraryCols, 20, 8, 0.35, 2274.84, 2119.37
ArbitraryCols, 20, 8, 0.4, 2651.9, 2339.54
ArbitraryCols, 20, 8, 0.45, 2907.54, 2578.51
ArbitraryCols, 20, 8, 0.5, 3132.26, 2892.14
ArbitraryCols, 20, 8, 0.55, 3405.47, 3091.34
ArbitraryCols, 20, 8, 0.6, 3553.45, 3302.21
ArbitraryCols, 20, 8, 0.65, 3814.93, 3486.66
ArbitraryCols, 20, 8, 0.7, 4004.26, 3730.55
ArbitraryCols, 20, 8, 0.75, 4220.45, 3910.2
ArbitraryCols, 20, 8, 0.8, 4358.05, 4054.33
ArbitraryCols, 20, 8, 0.85, 4607.52, 4304.42
ArbitraryCols, 20, 8, 0.9, 4706.36, 4478.71
ArbitraryCols, 20, 8, 0.95, 5039.99, 4650.79
ArbitraryCols, 20, 8, 1, 5357.44, 5082.63
ArbitraryCols, 20, 7, 0, 30.107, 31.1007
ArbitraryCols, 20, 7, 0.05, 341.032, 388.508
ArbitraryCols, 20, 7, 0.1, 609.184, 665.956
ArbitraryCols, 20, 7, 0.15, 1039.26, 946.078
ArbitraryCols, 20, 7, 0.2, 1346.14, 1117.88
ArbitraryCols, 20, 7, 0.25, 1602.4, 1413.49
ArbitraryCols, 20, 7, 0.3, 1861.34, 1611
ArbitraryCols, 20, 7, 0.35, 2093.4, 1869.3
ArbitraryCols, 20, 7, 0.4, 2268.86, 2060.86
ArbitraryCols, 20, 7, 0.45, 2526.21, 2240.79
ArbitraryCols, 20, 7, 0.5, 2872.26, 2466.73
ArbitraryCols, 20, 7, 0.55, 2926.9, 2613.52
ArbitraryCols, 20, 7, 0.6, 3098.21, 2768.96
