TypeName, NumOps, NumCols, Select, CompressUpdate, CompressProject
ArbitraryOps, 40, 1, 0, 31.5676, 31.6256
ArbitraryOps, 40, 1, 0.05, 350.347, 375.025
ArbitraryOps, 40, 1, 0.1, 607.685, 790.502
ArbitraryOps, 40, 1, 0.15, 956.286, 1087.33
ArbitraryOps, 40, 1, 0.2, 1117.77, 1279.54
ArbitraryOps, 40, 1, 0.25, 1490.73, 1761.43
ArbitraryOps, 40, 1, 0.3, 1734.45, 2056.58
ArbitraryOps, 40, 1, 0.35, 2069.87, 2390.44
ArbitraryOps, 40, 1, 0.4, 2318.16, 2712.43
ArbitraryOps, 40, 1, 0.45, 2729.35, 3066.53
ArbitraryOps, 40, 1, 0.5, 2885.47, 3427.67
ArbitraryOps, 40, 1, 0.55, 3204.57, 3585.06
ArbitraryOps, 40, 1, 0.6, 3691.81, 3947.12
ArbitraryOps, 40, 1, 0.65, 3936.96, 4386.89
ArbitraryOps, 40, 1, 0.7, 4158.53, 4683.19
ArbitraryOps, 40, 1, 0.75, 4464.8, 4984.49
ArbitraryOps, 40, 1, 0.8, 4781.93, 5272.94
ArbitraryOps, 40, 1, 0.85, 5043.52, 5409.3
ArbitraryOps, 40, 1, 0.9, 5345.76, 5749.05
ArbitraryOps, 40, 1, 0.95, 5657.22, 5986.46
ArbitraryOps, 40, 1, 1, 5926.09, 6116.92
ArbitraryOps, 38, 1, 0, 31.4973, 31.8819
ArbitraryOps, 38, 1, 0.05, 366.879, 365.129
ArbitraryOps, 38, 1, 0.1, 679.556, 816.761
ArbitraryOps, 38, 1, 0.15, 928.709, 927.49
ArbitraryOps, 38, 1, 0.2, 1177.14, 1245.44
ArbitraryOps, 38, 1, 0.25, 1477.87, 1542.75
ArbitraryOps, 38, 1, 0.3, 1800.42, 2023.94
ArbitraryOps, 38, 1, 0.35, 2121.77, 2238
ArbitraryOps, 38, 1, 0.4, 2476.34, 2583.42
ArbitraryOps, 38, 1, 0.45, 2635.79, 3015.23
ArbitraryOps, 38, 1, 0.5, 2931.89, 3256.44
ArbitraryOps, 38, 1, 0.55, 3286.07, 3811.91
ArbitraryOps, 38, 1, 0.6, 3561.84, 4047.32
ArbitraryOps, 38, 1, 0.65, 3843.32, 4290.29
ArbitraryOps, 38, 1, 0.7, 4210.92, 4574.99
ArbitraryOps, 38, 1, 0.75, 4456.43, 4919.07
ArbitraryOps, 38, 1, 0.8, 4852.03, 5110.32
ArbitraryOps, 38, 1, 0.85, 4950.17, 5552.48
ArbitraryOps, 38, 1, 0.9, 5216.42, 5711.65
ArbitraryOps, 38, 1, 0.95, 5579.98, 5967.02
ArbitraryOps, 38, 1, 1, 5866.28, 6142.09
ArbitraryOps, 36, 1, 0, 31.5276, 31.7178
ArbitraryOps, 36, 1, 0.05, 309.361, 389.665
ArbitraryOps, 36, 1, 0.1, 702.74, 677.816
ArbitraryOps, 36, 1, 0.15, 840.575, 931.616
ArbitraryOps, 36, 1, 0.2, 1283.51, 1237.48
ArbitraryOps, 36, 1, 0.25, 1509.8, 1480.98
ArbitraryOps, 36, 1, 0.3, 1696.01, 2070.93
ArbitraryOps, 36, 1, 0.35, 2111.96, 2307.14
ArbitraryOps, 36, 1, 0.4, 2261.43, 2491.55
ArbitraryOps, 36, 1, 0.45, 2555.1, 2931.03
ArbitraryOps, 36, 1, 0.5, 2864.06, 3247.45
ArbitraryOps, 36, 1, 0.55, 2964.5, 3685.86
ArbitraryOps, 36, 1, 0.6, 3533.9, 3800.07
ArbitraryOps, 36, 1, 0.65, 3633.95, 4189.49
ArbitraryOps, 36, 1, 0.7, 3975.31, 4410.92
ArbitraryOps, 36, 1, 0.75, 4179.4, 4695.2
ArbitraryOps, 36, 1, 0.8, 4530.12, 4977.43
ArbitraryOps, 36, 1, 0.85, 4696.4, 5208.07
ArbitraryOps, 36, 1, 0.9, 5041.83, 5499.41
ArbitraryOps, 36, 1, 0.95, 5406.9, 5751.15
ArbitraryOps, 36, 1, 1, 5578.52, 5790.05
ArbitraryOps, 34, 1, 0, 29.8569, 31.574
ArbitraryOps, 34, 1, 0.05, 370.357, 388.601
ArbitraryOps, 34, 1, 0.1, 577.586, 617.787
ArbitraryOps, 34, 1, 0.15, 883.908, 979.515
ArbitraryOps, 34, 1, 0.2, 1297.04, 1266.69
ArbitraryOps, 34, 1, 0.25, 1535.79, 1647.91
ArbitraryOps, 34, 1, 0.3, 1785.71, 1972.75
ArbitraryOps, 34, 1, 0.35, 2042.84, 2113.84
ArbitraryOps, 34, 1, 0.4, 2156.46, 2653.25
ArbitraryOps, 34, 1, 0.45, 2512.92, 2943.34
ArbitraryOps, 34, 1, 0.5, 2740.65, 3002.41
ArbitraryOps, 34, 1, 0.55, 3082.64, 3472.09
ArbitraryOps, 34, 1, 0.6, 3255.94, 3802.43
ArbitraryOps, 34, 1, 0.65, 3694.88, 3974.58
ArbitraryOps, 34, 1, 0.7, 3954.86, 4273.25
ArbitraryOps, 34, 1, 0.75, 4225.24, 4569
ArbitraryOps, 34, 1, 0.8, 4369.89, 4913.56
ArbitraryOps, 34, 1, 0.85, 4697.47, 5073.92
ArbitraryOps, 34, 1, 0.9, 4971.01, 5280.25
ArbitraryOps, 34, 1, 0.95, 5261.3, 5610.83
ArbitraryOps, 34, 1, 1, 5489.14, 5655.02
ArbitraryOps, 32, 1, 0, 29.9725, 31.9138
ArbitraryOps, 32, 1, 0.05, 395.405, 318.222
ArbitraryOps, 32, 1, 0.1, 550.532, 639.688
ArbitraryOps, 32, 1, 0.15, 813.145, 834.535
ArbitraryOps, 32, 1, 0.2, 1207.29, 1224.55
ArbitraryOps, 32, 1, 0.25, 1580.42, 1415.18
ArbitraryOps, 32, 1, 0.3, 1736.51, 1772.03
ArbitraryOps, 32, 1, 0.35, 1851.93, 2323.53
ArbitraryOps, 32, 1, 0.4, 2239.82, 2487.26
ArbitraryOps, 32, 1, 0.45, 2416.46, 2893.51
ArbitraryOps, 32, 1, 0.5, 2737.16, 3081.2
ArbitraryOps, 32, 1, 0.55, 2911.58, 3445.26
ArbitraryOps, 32, 1, 0.6, 3377.33, 3686.91
ArbitraryOps, 32, 1, 0.65, 3604.44, 3803.13
ArbitraryOps, 32, 1, 0.7, 3836.15, 4153.09
ArbitraryOps, 32, 1, 0.75, 4052.91, 4424.01
ArbitraryOps, 32, 1, 0.8, 4440.26, 4759.5
ArbitraryOps, 32, 1, 0.85, 4663.52, 4989.6
ArbitraryOps, 32, 1, 0.9, 4920.44, 5098.25
ArbitraryOps, 32, 1, 0.95, 5133.12, 5426.78
ArbitraryOps, 32, 1, 1, 5403.13, 5542.46
ArbitraryOps, 30, 1, 0, 30.4761, 31.8402
ArbitraryOps, 30, 1, 0.05, 370.223, 311.791
ArbitraryOps, 30, 1, 0.1, 618.649, 558
ArbitraryOps, 30, 1, 0.15, 761.27, 881.383
ArbitraryOps, 30, 1, 0.2, 1055.45, 1137.53
ArbitraryOps, 30, 1, 0.25, 1237.72, 1488.34
ArbitraryOps, 30, 1, 0.3, 1504.28, 1791.95
ArbitraryOps, 30, 1, 0.35, 1746.88, 1888.97
ArbitraryOps, 30, 1, 0.4, 1967.88, 2221.12
ArbitraryOps, 30, 1, 0.45, 2163.21, 2618.41
ArbitraryOps, 30, 1, 0.5, 2468.78, 3022.98
ArbitraryOps, 30, 1, 0.55, 2645.35, 3169.62
ArbitraryOps, 30, 1, 0.6, 2898.05, 3400.52
ArbitraryOps, 30, 1, 0.65, 3086.69, 3726.3
ArbitraryOps, 30, 1, 0.7, 3388.06, 3770.87
ArbitraryOps, 30, 1, 0.75, 3606.86, 4143.46
ArbitraryOps, 30, 1, 0.8, 3889.81, 4366.46
ArbitraryOps, 30, 1, 0.85, 4103.73, 4572.14
ArbitraryOps, 30, 1, 0.9, 4276.16, 4838.03
ArbitraryOps, 30, 1, 0.95, 4613.03, 4975.17
ArbitraryOps, 30, 1, 1, 4813.58, 5043.57
ArbitraryOps, 28, 1, 0, 30.2537, 31.5838
ArbitraryOps, 28, 1, 0.05, 277.044, 306.922
ArbitraryOps, 28, 1, 0.1, 552.49, 625.302
ArbitraryOps, 28, 1, 0.15, 891.785, 785.118
ArbitraryOps, 28, 1, 0.2, 966.702, 1069.7
ArbitraryOps, 28, 1, 0.25, 1265.98, 1402.29
ArbitraryOps, 28, 1, 0.3, 1507.19, 1665.8
ArbitraryOps, 28, 1, 0.35, 1608.27, 1841.85
ArbitraryOps, 28, 1, 0.4, 1874.4, 2382.36
ArbitraryOps, 28, 1, 0.45, 2111.53, 2454.24
ArbitraryOps, 28, 1, 0.5, 2376.03, 2763.47
ArbitraryOps, 28, 1, 0.55, 2614.73, 3013.76
ArbitraryOps, 28, 1, 0.6, 2840.62, 3362.3
ArbitraryOps, 28, 1, 0.65, 3089.65, 3544.63
ArbitraryOps, 28, 1, 0.7, 3344.2, 3766.95
ArbitraryOps, 28, 1, 0.75, 3417.25, 3961.99
ArbitraryOps, 28, 1, 0.8, 3705.84, 4113.99
ArbitraryOps, 28, 1, 0.85, 3951.83, 4404.53
ArbitraryOps, 28, 1, 0.9, 4179.13, 4552.28
ArbitraryOps, 28, 1, 0.95, 4436.06, 4869.6
ArbitraryOps, 28, 1, 1, 4630.52, 4925.91
ArbitraryOps, 26, 1, 0, 30.0766, 30.5358
ArbitraryOps, 26, 1, 0.05, 273.641, 288.834
ArbitraryOps, 26, 1, 0.1, 547.03, 558.344
ArbitraryOps, 26, 1, 0.15, 808.547, 793.417
ArbitraryOps, 26, 1, 0.2, 978.169, 946.36
ArbitraryOps, 26, 1, 0.25, 1220.3, 1288.73
ArbitraryOps, 26, 1, 0.3, 1416.21, 1648.23
ArbitraryOps, 26, 1, 0.35, 1563.6, 1921.97
ArbitraryOps, 26, 1, 0.4, 1815.38, 2111.01
ArbitraryOps, 26, 1, 0.45, 1930.44, 2469.55
ArbitraryOps, 26, 1, 0.5, 2313.97, 2642.13
ArbitraryOps, 26, 1, 0.55, 2476.68, 2858.42
ArbitraryOps, 26, 1, 0.6, 2750.54, 3143.31
ArbitraryOps, 26, 1, 0.65, 2799.1, 3351.84
ArbitraryOps, 26, 1, 0.7, 3143.5, 3521.22
ArbitraryOps, 26, 1, 0.75, 3298.33, 3667.19
ArbitraryOps, 26, 1, 0.8, 3596.79, 3936.01
ArbitraryOps, 26, 1, 0.85, 3811.4, 4177.55
ArbitraryOps, 26, 1, 0.9, 4004.73, 4371.17
ArbitraryOps, 26, 1, 0.95, 4204.97, 4430.69
ArbitraryOps, 26, 1, 1, 4409.97, 4456.45
ArbitraryOps, 24, 1, 0, 29.8767, 30.7082
ArbitraryOps, 24, 1, 0.05, 258.519, 274.474
ArbitraryOps, 24, 1, 0.1, 476.066, 478.561
ArbitraryOps, 24, 1, 0.15, 638.305, 708.415
ArbitraryOps, 24, 1, 0.2, 936.964, 992.989
ArbitraryOps, 24, 1, 0.25, 1149.55, 1305.84
ArbitraryOps, 24, 1, 0.3, 1316.22, 1513.92
ArbitraryOps, 24, 1, 0.35, 1520.3, 1817.45
ArbitraryOps, 24, 1, 0.4, 1680.08, 2163.14
ArbitraryOps, 24, 1, 0.45, 1995.51, 2383.14
ArbitraryOps, 24, 1, 0.5, 2111.46, 2596.29
ArbitraryOps, 24, 1, 0.55, 2347.59, 2747.74
ArbitraryOps, 24, 1, 0.6, 2475.62, 3003.87
ArbitraryOps, 24, 1, 0.65, 2725.74, 3277.31
ArbitraryOps, 24, 1, 0.7, 2886.25, 3458.5
ArbitraryOps, 24, 1, 0.75, 3154.77, 3668.83
ArbitraryOps, 24, 1, 0.8, 3336.65, 3792.81
ArbitraryOps, 24, 1, 0.85, 3618.37, 4054
ArbitraryOps, 24, 1, 0.9, 3746.7, 4118.19
ArbitraryOps, 24, 1, 0.95, 4029.01, 4318.77
ArbitraryOps, 24, 1, 1, 4189.49, 4292.89
ArbitraryOps, 22, 1, 0, 30.5787, 30.1042
ArbitraryOps, 22, 1, 0.05, 264.073, 289.384
ArbitraryOps, 22, 1, 0.1, 412.223, 496.388
ArbitraryOps, 22, 1, 0.15, 599.392, 710.781
ArbitraryOps, 22, 1, 0.2, 896.338, 911.89
ArbitraryOps, 22, 1, 0.25, 1101.46, 1193.24
ArbitraryOps, 22, 1, 0.3, 1280.21, 1443.67
ArbitraryOps, 22, 1, 0.35, 1467.08, 1742.55
ArbitraryOps, 22, 1, 0.4, 1628.39, 2011.96
ArbitraryOps, 22, 1, 0.45, 1839.72, 2306.28
ArbitraryOps, 22, 1, 0.5, 2002.89, 2498.44
ArbitraryOps, 22, 1, 0.55, 2273.41, 2690.7
ArbitraryOps, 22, 1, 0.6, 2393.46, 2859.73
ArbitraryOps, 22, 1, 0.65, 2605.77, 3098.3
ArbitraryOps, 22, 1, 0.7, 2831.41, 3298.04
ArbitraryOps, 22, 1, 0.75, 3006.4, 3590.17
ArbitraryOps, 22, 1, 0.8, 3208.72, 3717.31
ArbitraryOps, 22, 1, 0.85, 3423.75, 3860.89
ArbitraryOps, 22, 1, 0.9, 3567.48, 4025.07
ArbitraryOps, 22, 1, 0.95, 3810.08, 4137.98
ArbitraryOps, 22, 1, 1, 4000.24, 4145.98
ArbitraryOps, 20, 1, 0, 29.8037, 30.077
ArbitraryOps, 20, 1, 0.05, 224.259, 246.67
ArbitraryOps, 20, 1, 0.1, 495.418, 475.72
ArbitraryOps, 20, 1, 0.15, 681.856, 660.64
ArbitraryOps, 20, 1, 0.2, 706.538, 899.996
ArbitraryOps, 20, 1, 0.25, 1006.26, 1084.53
ArbitraryOps, 20, 1, 0.3, 1150.88, 1358
ArbitraryOps, 20, 1, 0.35, 1287.09, 1672.44
ArbitraryOps, 20, 1, 0.4, 1492.96, 1794.1
ArbitraryOps, 20, 1, 0.45, 1605.82, 2096.4
ArbitraryOps, 20, 1, 0.5, 1885.48, 2300.79
ArbitraryOps, 20, 1, 0.55, 2029.73, 2512.22
ArbitraryOps, 20, 1, 0.6, 2216.47, 2659.19
ArbitraryOps, 20, 1, 0.65, 2367.99, 2916.05
ArbitraryOps, 20, 1, 0.7, 2583.94, 3012.54
ArbitraryOps, 20, 1, 0.75, 2738.05, 3149.52
ArbitraryOps, 20, 1, 0.8, 2920.99, 3321.78
ArbitraryOps, 20, 1, 0.85, 3136.03, 3506.05
ArbitraryOps, 20, 1, 0.9, 3279.43, 3617.48
ArbitraryOps, 20, 1, 0.95, 3469.78, 3832.24
ArbitraryOps, 20, 1, 1, 3656.03, 3785.04
ArbitraryOps, 18, 1, 0, 29.8741, 30.2108
ArbitraryOps, 18, 1, 0.05, 277.25, 232.274
ArbitraryOps, 18, 1, 0.1, 432.657, 452.438
ArbitraryOps, 18, 1, 0.15, 531.222, 692.547
ArbitraryOps, 18, 1, 0.2, 711.79, 904.634
ArbitraryOps, 18, 1, 0.25, 967.863, 1062.07
ArbitraryOps, 18, 1, 0.3, 1012.52, 1369.5
ArbitraryOps, 18, 1, 0.35, 1271.17, 1561.28
ArbitraryOps, 18, 1, 0.4, 1446.82, 1680.77
ArbitraryOps, 18, 1, 0.45, 1557.13, 1985.01
ArbitraryOps, 18, 1, 0.5, 1716.15, 2162.28
ArbitraryOps, 18, 1, 0.55, 1967.79, 2337.25
ArbitraryOps, 18, 1, 0.6, 2014.58, 2546.82
ArbitraryOps, 18, 1, 0.65, 2217.03, 2739.92
ArbitraryOps, 18, 1, 0.7, 2434.86, 2918.82
ArbitraryOps, 18, 1, 0.75, 2560.68, 3031.31
ArbitraryOps, 18, 1, 0.8, 2797.66, 3170.9
ArbitraryOps, 18, 1, 0.85, 2969.19, 3344.2
ArbitraryOps, 18, 1, 0.9, 3111.82, 3424.43
ArbitraryOps, 18, 1, 0.95, 3273.69, 3602.02
ArbitraryOps, 18, 1, 1, 3447.24, 3582.93
ArbitraryOps, 16, 1, 0, 29.5264, 30.1596
ArbitraryOps, 16, 1, 0.05, 194.195, 212.419
ArbitraryOps, 16, 1, 0.1, 478.125, 433.819
ArbitraryOps, 16, 1, 0.15, 557.718, 654.875
ArbitraryOps, 16, 1, 0.2, 749.561, 843.104
ArbitraryOps, 16, 1, 0.25, 807.828, 1025.88
ArbitraryOps, 16, 1, 0.3, 1042.23, 1267.17
ArbitraryOps, 16, 1, 0.35, 1197.91, 1431.44
ArbitraryOps, 16, 1, 0.4, 1371.13, 1686.37
ArbitraryOps, 16, 1, 0.45, 1542.22, 1887.37
ArbitraryOps, 16, 1, 0.5, 1682.13, 2137.77
ArbitraryOps, 16, 1, 0.55, 1930.92, 2264.09
ArbitraryOps, 16, 1, 0.6, 1978.44, 2554.29
ArbitraryOps, 16, 1, 0.65, 2183.67, 2616.75
ArbitraryOps, 16, 1, 0.7, 2370.39, 2809.17
ArbitraryOps, 16, 1, 0.75, 2495.77, 2990.71
ArbitraryOps, 16, 1, 0.8, 2708.43, 3158.29
ArbitraryOps, 16, 1, 0.85, 2866.63, 3368.12
ArbitraryOps, 16, 1, 0.9, 3000.1, 3443.26
ArbitraryOps, 16, 1, 0.95, 3160.75, 3662.82
ArbitraryOps, 16, 1, 1, 3339.34, 3695.91
ArbitraryOps, 14, 1, 0, 29.7084, 29.6569
ArbitraryOps, 14, 1, 0.05, 194.493, 220.351
ArbitraryOps, 14, 1, 0.1, 372.597, 356.976
ArbitraryOps, 14, 1, 0.15, 549.077, 512.398
ArbitraryOps, 14, 1, 0.2, 680.707, 784.11
ArbitraryOps, 14, 1, 0.25, 813.488, 946.51
ArbitraryOps, 14, 1, 0.3, 981.22, 1098.83
ArbitraryOps, 14, 1, 0.35, 1127.09, 1475.39
ArbitraryOps, 14, 1, 0.4, 1302.65, 1433.41
ArbitraryOps, 14, 1, 0.45, 1482.54, 1738.94
ArbitraryOps, 14, 1, 0.5, 1591.3, 1756.99
ArbitraryOps, 14, 1, 0.55, 1766.83, 1980.7
ArbitraryOps, 14, 1, 0.6, 1905.4, 2236.87
ArbitraryOps, 14, 1, 0.65, 2020.79, 2414.49
ArbitraryOps, 14, 1, 0.7, 2178.81, 2571.03
ArbitraryOps, 14, 1, 0.75, 2403.13, 2692.29
ArbitraryOps, 14, 1, 0.8, 2567.14, 2864.9
ArbitraryOps, 14, 1, 0.85, 2675.79, 3019.57
ArbitraryOps, 14, 1, 0.9, 2857.86, 3100.61
ArbitraryOps, 14, 1, 0.95, 3011.95, 3301.6
ArbitraryOps, 14, 1, 1, 3163.43, 3308.09
ArbitraryOps, 12, 1, 0, 29.8509, 29.7313
ArbitraryOps, 12, 1, 0.05, 173.818, 176.765
ArbitraryOps, 12, 1, 0.1, 402.295, 314.173
ArbitraryOps, 12, 1, 0.15, 443.295, 448.015
ArbitraryOps, 12, 1, 0.2, 629.152, 660.059
ArbitraryOps, 12, 1, 0.25, 684.315, 752.377
ArbitraryOps, 12, 1, 0.3, 858.753, 932.723
ArbitraryOps, 12, 1, 0.35, 980.295, 1046.25
ArbitraryOps, 12, 1, 0.4, 1171.4, 1245.06
ArbitraryOps, 12, 1, 0.45, 1272.9, 1421.68
ArbitraryOps, 12, 1, 0.5, 1375.44, 1489.19
ArbitraryOps, 12, 1, 0.55, 1511.08, 1752.81
ArbitraryOps, 12, 1, 0.6, 1667.72, 1892.54
ArbitraryOps, 12, 1, 0.65, 1765.65, 2029.15
ArbitraryOps, 12, 1, 0.7, 1937.05, 2148.94
ArbitraryOps, 12, 1, 0.75, 2071.89, 2290.9
ArbitraryOps, 12, 1, 0.8, 2150.76, 2418.27
ArbitraryOps, 12, 1, 0.85, 2310.73, 2522.88
ArbitraryOps, 12, 1, 0.9, 2424.04, 2691.61
ArbitraryOps, 12, 1, 0.95, 2588.46, 2802.66
ArbitraryOps, 12, 1, 1, 2706.84, 2788.58
