TypeName, NumOps, NumCols, Select, CompressUpdate, CompressProject
ArbitraryOps, 40, 1, 0, 30.9842, 30.893
ArbitraryOps, 40, 1, 0.05, 157.697, 171.377
ArbitraryOps, 40, 1, 0.1, 285.226, 407.071
ArbitraryOps, 40, 1, 0.15, 439.676, 462.822
ArbitraryOps, 40, 1, 0.2, 602.465, 698.306
ArbitraryOps, 40, 1, 0.25, 743.753, 858.761
ArbitraryOps, 40, 1, 0.3, 836.624, 994.211
ArbitraryOps, 40, 1, 0.35, 1028.43, 1281.12
ArbitraryOps, 40, 1, 0.4, 1124.4, 1418.95
ArbitraryOps, 40, 1, 0.45, 1248.63, 1566.96
ArbitraryOps, 40, 1, 0.5, 1445.08, 1738.35
ArbitraryOps, 40, 1, 0.55, 1508.39, 1884.01
ArbitraryOps, 40, 1, 0.6, 1658.94, 1972.48
ArbitraryOps, 40, 1, 0.65, 1790.04, 2123.4
ArbitraryOps, 40, 1, 0.7, 1888.52, 2261.99
ArbitraryOps, 40, 1, 0.75, 2020.28, 2385.57
ArbitraryOps, 40, 1, 0.8, 2128.33, 2544.56
ArbitraryOps, 40, 1, 0.85, 2316.68, 2670.69
ArbitraryOps, 40, 1, 0.9, 2432.13, 2765.74
ArbitraryOps, 40, 1, 0.95, 2523.6, 2844.32
ArbitraryOps, 40, 1, 1, 2690.41, 2934.58
ArbitraryOps, 38, 1, 0, 30.4937, 30.5869
ArbitraryOps, 38, 1, 0.05, 162.399, 232.874
ArbitraryOps, 38, 1, 0.1, 269.281, 341.188
ArbitraryOps, 38, 1, 0.15, 442.575, 460.17
ArbitraryOps, 38, 1, 0.2, 568.707, 605.947
ArbitraryOps, 38, 1, 0.25, 687.583, 847.988
ArbitraryOps, 38, 1, 0.3, 804.433, 952.361
ArbitraryOps, 38, 1, 0.35, 912.412, 1155.89
ArbitraryOps, 38, 1, 0.4, 1095.23, 1383.11
ArbitraryOps, 38, 1, 0.45, 1241.74, 1536.39
ArbitraryOps, 38, 1, 0.5, 1296.15, 1688.4
ArbitraryOps, 38, 1, 0.55, 1491.54, 1742.74
ArbitraryOps, 38, 1, 0.6, 1625.32, 1992
ArbitraryOps, 38, 1, 0.65, 1743.61, 2063.34
ArbitraryOps, 38, 1, 0.7, 1836.68, 2168.58
ArbitraryOps, 38, 1, 0.75, 1998.82, 2291.62
ArbitraryOps, 38, 1, 0.8, 2125.2, 2473.88
ArbitraryOps, 38, 1, 0.85, 2299.22, 2690.83
ArbitraryOps, 38, 1, 0.9, 2405.43, 2739.1
ArbitraryOps, 38, 1, 0.95, 2518.19, 2789.91
ArbitraryOps, 38, 1, 1, 2655.66, 2826.31
ArbitraryOps, 36, 1, 0, 30.123, 30.41
ArbitraryOps, 36, 1, 0.05, 155.762, 209.695
ArbitraryOps, 36, 1, 0.1, 274.308, 334.21
ArbitraryOps, 36, 1, 0.15, 447.493, 423.324
ArbitraryOps, 36, 1, 0.2, 532.779, 657.916
ArbitraryOps, 36, 1, 0.25, 600.155, 802.171
ArbitraryOps, 36, 1, 0.3, 774.944, 988.971
ArbitraryOps, 36, 1, 0.35, 926.778, 1132.23
ArbitraryOps, 36, 1, 0.4, 1012.12, 1247.65
