Output, Typename, NumOps, NumCols, Select, FullBitmap, PartialBitmap, SelVec
Individual, hash_t, 10, 1, 0, 735.106, 43.1338, 29.92
Individual, hash_t, 10, 1, 0.05, 735.015, 215.07, 142.736
Individual, hash_t, 10, 1, 0.1, 737.14, 349.19, 268.444
Individual, hash_t, 10, 1, 0.15, 736.91, 495.526, 352.674
Individual, hash_t, 10, 1, 0.2, 735.589, 636.067, 511.042
Individual, hash_t, 10, 1, 0.25, 736.938, 834.788, 656.074
Individual, hash_t, 10, 1, 0.3, 735.317, 960.216, 872.932
Individual, hash_t, 10, 1, 0.35, 737.99, 1141.37, 947.436
Individual, hash_t, 10, 1, 0.4, 737.919, 1299.32, 1152.02
Individual, hash_t, 10, 1, 0.45, 734.166, 1534.39, 1164.94
Individual, hash_t, 10, 1, 0.5, 737.691, 1662.61, 1310.57
Individual, hash_t, 10, 1, 0.55, 733.721, 1850.42, 1400.29
Individual, hash_t, 10, 1, 0.6, 736.596, 1976, 1486.88
Individual, hash_t, 10, 1, 0.65, 733.884, 2120.89, 1633.29
Individual, hash_t, 10, 1, 0.7, 737.472, 2241.99, 1696.45
Individual, hash_t, 10, 1, 0.75, 736.653, 2419.22, 1807.41
Individual, hash_t, 10, 1, 0.8, 734.815, 2588.09, 1947
Individual, hash_t, 10, 1, 0.85, 732.15, 2683.87, 2024.47
Individual, hash_t, 10, 1, 0.9, 734.645, 2809.52, 2133.64
Individual, hash_t, 10, 1, 0.95, 731.89, 2933.4, 2246.5
Individual, hash_t, 10, 1, 1, 732.908, 2933.63, 2345.74
