Output, Typename, NumOps, NumCols, Select, FullBitmap, PartialBitmap, SelVec
Individual, int64, 40, 1, 0, 5640.97, 43.2197, 29.4218
Individual, int64, 40, 1, 0.05, 5680.05, 695.62, 710.496
Individual, int64, 40, 1, 0.1, 5699.99, 1492.07, 1223.37
Individual, int64, 40, 1, 0.15, 5679.52, 2362.36, 1893.53
Individual, int64, 40, 1, 0.2, 5701.79, 3052.74, 2565.24
Individual, int64, 40, 1, 0.25, 5704.97, 3947.03, 3221.26
Individual, int64, 40, 1, 0.3, 5634.41, 4354.45, 3759.77
Individual, int64, 40, 1, 0.35, 5620.98, 5062.23, 4131.8
Individual, int64, 40, 1, 0.4, 5645.83, 5921.99, 4768.56
Individual, int64, 40, 1, 0.45, 5677.76, 6615.9, 5716.3
Individual, int64, 40, 1, 0.5, 5666.88, 7119.65, 5959.39
Individual, int64, 40, 1, 0.55, 5723.43, 8239.56, 6567.41
Individual, int64, 40, 1, 0.6, 5723.63, 8513.06, 7390.16
Individual, int64, 40, 1, 0.65, 5673.33, 9669.84, 7573.18
Individual, int64, 40, 1, 0.7, 5664.99, 9919.65, 8497.61
Individual, int64, 40, 1, 0.75, 5667.4, 10580.5, 8900.84
Individual, int64, 40, 1, 0.8, 5667.92, 11591.7, 9688.57
Individual, int64, 40, 1, 0.85, 5697.05, 12246, 10313.3
Individual, int64, 40, 1, 0.9, 5679.42, 13224.1, 10938
Individual, int64, 40, 1, 0.95, 5665.77, 13798.2, 11492.3
Individual, int64, 40, 1, 1, 5661.06, 14455.7, 12141
Individual, int64, 38, 1, 0, 5426.42, 43.1933, 29.4935
Individual, int64, 38, 1, 0.05, 5460.54, 743.927, 659.937
Individual, int64, 38, 1, 0.1, 5459.51, 1144.64, 1029.7
Individual, int64, 38, 1, 0.15, 5497.78, 2251.41, 1606.36
Individual, int64, 38, 1, 0.2, 5490.12, 3222.46, 2282.03
Individual, int64, 38, 1, 0.25, 5469.01, 3945.3, 2848.24
