Output, Typename, NumOps, NumCols, Select, FullBitmap, PartialBitmap, SelVec
Individual, int64, 40, 1, 0, 1569, 43.341, 29.3976
Individual, int64, 40, 1, 0.05, 1567.94, 670.8, 493.987
Individual, int64, 40, 1, 0.1, 1568.04, 1079.5, 1063.37
Individual, int64, 40, 1, 0.15, 1568.53, 1779.19, 1543.63
Individual, int64, 40, 1, 0.2, 1568.47, 2436.7, 1994.47
Individual, int64, 40, 1, 0.25, 1568.08, 2976.23, 2428.25
Individual, int64, 40, 1, 0.3, 1568.37, 3276.18, 3017.53
Individual, int64, 40, 1, 0.35, 1569.2, 3873.63, 3489.24
Individual, int64, 40, 1, 0.4, 1568.3, 4381.06, 4001.69
Individual, int64, 40, 1, 0.45, 1568.3, 4905.38, 4627.14
Individual, int64, 40, 1, 0.5, 1568.45, 5426.19, 4910.46
Individual, int64, 40, 1, 0.55, 1568.62, 6040.1, 5355.55
Individual, int64, 40, 1, 0.6, 1568.7, 6430.28, 5795.22
Individual, int64, 40, 1, 0.65, 1568.22, 6964.61, 6394.41
Individual, int64, 40, 1, 0.7, 1568.65, 7626.23, 6682.52
Individual, int64, 40, 1, 0.75, 1569.13, 7934.54, 7377.22
Individual, int64, 40, 1, 0.8, 1568.25, 8590.46, 7939.86
Individual, int64, 40, 1, 0.85, 1568.86, 9141.23, 8331.68
Individual, int64, 40, 1, 0.9, 1567.83, 9586.28, 8797.2
Individual, int64, 40, 1, 0.95, 1568.26, 9974.01, 9284.57
Individual, int64, 40, 1, 1, 1567.14, 10364.9, 9760.14
Individual, int64, 38, 1, 0, 1501.67, 44.2264, 29.9352
Individual, int64, 38, 1, 0.05, 1505.64, 576.162, 414.981
Individual, int64, 38, 1, 0.1, 1503.28, 1011.27, 941.722
Individual, int64, 38, 1, 0.15, 1502.99, 1533.71, 1347.62
Individual, int64, 38, 1, 0.2, 1502.79, 2178, 1903.27
Individual, int64, 38, 1, 0.25, 1503.02, 2640.5, 2477.33
Individual, int64, 38, 1, 0.3, 1503.99, 3160.23, 2930
Individual, int64, 38, 1, 0.35, 1501.14, 3758.24, 3360.7
Individual, int64, 38, 1, 0.4, 1501.19, 4326.41, 3782.85
Individual, int64, 38, 1, 0.45, 1503.5, 4895.41, 4354.84
Individual, int64, 38, 1, 0.5, 1503.44, 5019.44, 4738.74
Individual, int64, 38, 1, 0.55, 1501.87, 5688.68, 5278.42
Individual, int64, 38, 1, 0.6, 1503.66, 6152.58, 5522.11
Individual, int64, 38, 1, 0.65, 1502.21, 6747.8, 6011.06
Individual, int64, 38, 1, 0.7, 1503.84, 7142.13, 6747.35
Individual, int64, 38, 1, 0.75, 1501.06, 7751.84, 6871.35
Individual, int64, 38, 1, 0.8, 1501.19, 8052.17, 7501.85
Individual, int64, 38, 1, 0.85, 1502.25, 8600.26, 7837.47
Individual, int64, 38, 1, 0.9, 1502.81, 9069.07, 8380.43
Individual, int64, 38, 1, 0.95, 1505.43, 9642.61, 8860.11
Individual, int64, 38, 1, 1, 1504.5, 9838.6, 9319.34
Individual, int64, 36, 1, 0, 1417.87, 43.7139, 29.4015
Individual, int64, 36, 1, 0.05, 1417.33, 533.164, 487.195
Individual, int64, 36, 1, 0.1, 1417.04, 1071.37, 965.269
Individual, int64, 36, 1, 0.15, 1417.57, 1486.47, 1339.62
Individual, int64, 36, 1, 0.2, 1416.87, 1947.23, 1803.82
Individual, int64, 36, 1, 0.25, 1416.71, 2473.91, 2159.68
Individual, int64, 36, 1, 0.3, 1417.92, 2999.63, 2661.43
Individual, int64, 36, 1, 0.35, 1416.09, 3222.18, 3102.55
Individual, int64, 36, 1, 0.4, 1414.98, 3931.94, 3376.44
Individual, int64, 36, 1, 0.45, 1416.88, 4480.3, 4105.87
Individual, int64, 36, 1, 0.5, 1416.83, 4821.2, 4412.37
Individual, int64, 36, 1, 0.55, 1415.7, 5471.4, 4761.16
Individual, int64, 36, 1, 0.6, 1417.36, 5833.46, 5248.93
Individual, int64, 36, 1, 0.65, 1415.18, 6391.93, 5587.88
Individual, int64, 36, 1, 0.7, 1415.18, 6688.73, 5854.54
Individual, int64, 36, 1, 0.75, 1415.35, 6995.17, 6351.49
Individual, int64, 36, 1, 0.8, 1418.62, 7630.39, 6926.31
Individual, int64, 36, 1, 0.85, 1417.09, 8102.55, 7313.11
Individual, int64, 36, 1, 0.9, 1416.18, 8589.07, 7676.98
Individual, int64, 36, 1, 0.95, 1416.14, 8918.9, 7976.06
Individual, int64, 36, 1, 1, 1417.12, 9242.01, 8502.78
Individual, int64, 34, 1, 0, 1336.3, 44.1222, 29.2208
Individual, int64, 34, 1, 0.05, 1337.3, 528.076, 490.129
Individual, int64, 34, 1, 0.1, 1336.71, 1009.89, 732.615
Individual, int64, 34, 1, 0.15, 1335.9, 1303.05, 1195.56
Individual, int64, 34, 1, 0.2, 1335.37, 1934.06, 1773.8
Individual, int64, 34, 1, 0.25, 1335.71, 2419.39, 2162.28
Individual, int64, 34, 1, 0.3, 1335.83, 2810.92, 2723.44
Individual, int64, 34, 1, 0.35, 1335.34, 3394.18, 3026.83
Individual, int64, 34, 1, 0.4, 1335.59, 3730.03, 3323.59
Individual, int64, 34, 1, 0.45, 1337.04, 4129.83, 3813.24
Individual, int64, 34, 1, 0.5, 1336.85, 4605.71, 4077.25
Individual, int64, 34, 1, 0.55, 1336.8, 4797.85, 4448.8
Individual, int64, 34, 1, 0.6, 1337.9, 5314.7, 4908.79
Individual, int64, 34, 1, 0.65, 1337.88, 5907.48, 5374.08
Individual, int64, 34, 1, 0.7, 1337.11, 6276.69, 5828.73
Individual, int64, 34, 1, 0.75, 1337.08, 6657.32, 6240.21
Individual, int64, 34, 1, 0.8, 1335.23, 7074.13, 6496.78
Individual, int64, 34, 1, 0.85, 1336.44, 7544.3, 6867.91
Individual, int64, 34, 1, 0.9, 1336.06, 8102.49, 7216.69
Individual, int64, 34, 1, 0.95, 1335.57, 8403.67, 7799.11
Individual, int64, 34, 1, 1, 1335.5, 8707.82, 8153.62
Individual, int64, 32, 1, 0, 1259.02, 43.6088, 29.2704
Individual, int64, 32, 1, 0.05, 1258.31, 446.118, 435.135
Individual, int64, 32, 1, 0.1, 1257.86, 902.808, 914.046
Individual, int64, 32, 1, 0.15, 1258.04, 1373, 1240.56
Individual, int64, 32, 1, 0.2, 1257.58, 1762.42, 1721.95
Individual, int64, 32, 1, 0.25, 1257.74, 2274.96, 1948.28
Individual, int64, 32, 1, 0.3, 1257.57, 2652.83, 2406.93
Individual, int64, 32, 1, 0.35, 1257.7, 3197.87, 2826.99
Individual, int64, 32, 1, 0.4, 1257.71, 3601.5, 3313.55
Individual, int64, 32, 1, 0.45, 1257.74, 3938.57, 3660.98
Individual, int64, 32, 1, 0.5, 1257.79, 4178.81, 3948.67
Individual, int64, 32, 1, 0.55, 1258.03, 4714.51, 4337.52
Individual, int64, 32, 1, 0.6, 1257.29, 5179.9, 4687.22
Individual, int64, 32, 1, 0.65, 1257.86, 5579.39, 5035.32
