Output, Typename, NumOps, NumCols, Select, FullBitmap, PartialBitmap, SelVec
Individual, int64, 40, 1, 0, 5560.96, 90.1375, 29.5536
Individual, int64, 40, 1, 0.05, 5562.29, 901.499, 679.643
Individual, int64, 40, 1, 0.1, 5562.23, 1511.68, 1209.6
Individual, int64, 40, 1, 0.15, 5557.23, 2469.18, 2017.52
Individual, int64, 40, 1, 0.2, 5565.89, 3107.01, 2435.75
Individual, int64, 40, 1, 0.25, 5559.01, 3774.35, 2965.95
Individual, int64, 40, 1, 0.3, 5562.89, 4521.41, 3537.69
Individual, int64, 40, 1, 0.35, 5525.43, 5334.93, 4584.3
Individual, int64, 40, 1, 0.4, 5493.7, 6390.4, 4767.35
Individual, int64, 40, 1, 0.45, 5492.86, 6761.15, 5460.19
Individual, int64, 40, 1, 0.5, 5513.41, 7801.22, 6223.88
Individual, int64, 40, 1, 0.55, 5494.72, 8409.86, 6757.32
Individual, int64, 40, 1, 0.6, 5501.04, 9227.64, 7212.42
Individual, int64, 40, 1, 0.65, 5504.26, 9955.62, 7721.54
Individual, int64, 40, 1, 0.7, 5521.86, 10900, 8228.29
Individual, int64, 40, 1, 0.75, 5493.2, 11296.9, 9023.75
Individual, int64, 40, 1, 0.8, 5497.24, 12041.5, 9626.71
Individual, int64, 40, 1, 0.85, 5492.63, 12827.3, 10191.5
Individual, int64, 40, 1, 0.9, 5492.77, 13829.5, 10965.5
Individual, int64, 40, 1, 0.95, 5495.47, 14371.8, 11558.9
Individual, int64, 40, 1, 1, 5498.4, 15195.8, 12138.9
Individual, int64, 38, 1, 0, 5586.78, 98.8596, 29.3738
Individual, int64, 38, 1, 0.05, 5579.02, 848.181, 612.39
Individual, int64, 38, 1, 0.1, 5576.21, 1587.04, 1055.28
Individual, int64, 38, 1, 0.15, 5585.86, 2359.08, 1771.56
Individual, int64, 38, 1, 0.2, 5587.32, 3208.52, 2359.75
Individual, int64, 38, 1, 0.25, 5585.47, 3807.98, 2897.76
Individual, int64, 38, 1, 0.3, 5574.26, 4605.14, 3401.61
Individual, int64, 38, 1, 0.35, 5577.42, 5265.96, 4000.44
Individual, int64, 38, 1, 0.4, 5576, 5876.65, 4459.63
Individual, int64, 38, 1, 0.45, 5585.22, 6493.96, 5127.75
Individual, int64, 38, 1, 0.5, 5546.91, 7648.11, 5824.66
Individual, int64, 38, 1, 0.55, 5546.04, 8105.15, 6375.2
Individual, int64, 38, 1, 0.6, 5550.49, 9203.29, 6941.84
Individual, int64, 38, 1, 0.65, 5545.74, 9850.81, 7475.55
Individual, int64, 38, 1, 0.7, 5554.85, 10489.5, 8139.6
Individual, int64, 38, 1, 0.75, 5546.23, 11382.2, 8571.05
Individual, int64, 38, 1, 0.8, 5542.8, 11859.3, 9227.52
Individual, int64, 38, 1, 0.85, 5551.81, 12614, 9893.15
Individual, int64, 38, 1, 0.9, 5548.14, 13408.2, 10321.2
Individual, int64, 38, 1, 0.95, 5546.3, 14238, 10985.9
Individual, int64, 38, 1, 1, 5543.97, 14724.9, 11519.3
Individual, int64, 36, 1, 0, 5200.16, 95.7519, 29.2668
Individual, int64, 36, 1, 0.05, 5136.57, 751.271, 594.48
Individual, int64, 36, 1, 0.1, 5138.61, 1621.6, 1167.82
Individual, int64, 36, 1, 0.15, 5134.4, 2164.79, 1703.73
Individual, int64, 36, 1, 0.2, 5157.47, 2752.69, 2145.64
Individual, int64, 36, 1, 0.25, 5148.11, 3564.61, 2693.34
Individual, int64, 36, 1, 0.3, 5134.53, 4150.4, 3143.89
Individual, int64, 36, 1, 0.35, 5147.01, 5097.39, 3848.73
Individual, int64, 36, 1, 0.4, 5186.28, 5530.35, 4292.02
Individual, int64, 36, 1, 0.45, 5140.55, 6420.51, 4989.27
Individual, int64, 36, 1, 0.5, 5150.19, 7041.01, 5438.45
Individual, int64, 36, 1, 0.55, 5156.67, 7714.27, 5740.3
Individual, int64, 36, 1, 0.6, 5150.67, 8595.04, 6609.23
Individual, int64, 36, 1, 0.65, 5150.98, 9181.79, 7129.12
Individual, int64, 36, 1, 0.7, 5132.75, 10311, 7897.47
Individual, int64, 36, 1, 0.75, 5139.82, 10989.3, 8263.9
Individual, int64, 36, 1, 0.8, 5160.59, 11379.6, 8799.57
Individual, int64, 36, 1, 0.85, 5197.12, 12193.7, 9200.18
Individual, int64, 36, 1, 0.9, 5146.55, 12718.5, 9840.89
Individual, int64, 36, 1, 0.95, 5149.87, 13354.2, 10431
Individual, int64, 36, 1, 1, 5168.04, 14068.1, 10941.2
Individual, int64, 34, 1, 0, 4349.49, 87.3034, 29.3224
Individual, int64, 34, 1, 0.05, 4383.85, 734.912, 573.19
Individual, int64, 34, 1, 0.1, 4340.17, 1554.39, 1000.52
Individual, int64, 34, 1, 0.15, 4323.97, 2082.61, 1605.09
Individual, int64, 34, 1, 0.2, 4330.62, 2921.43, 2198.92
Individual, int64, 34, 1, 0.25, 4334.53, 4036.16, 2745.84
Individual, int64, 34, 1, 0.3, 4342.98, 4407.95, 3460.28
Individual, int64, 34, 1, 0.35, 4366.99, 4918.61, 3885.66
Individual, int64, 34, 1, 0.4, 4377.77, 5985.34, 4260.31
Individual, int64, 34, 1, 0.45, 4375.68, 6539.31, 4914.76
Individual, int64, 34, 1, 0.5, 4329.4, 7500.3, 5384.34
Individual, int64, 34, 1, 0.55, 4335.32, 8169.95, 5678.8
Individual, int64, 34, 1, 0.6, 4342.18, 9061.37, 6446.2
Individual, int64, 34, 1, 0.65, 4358.71, 9452.08, 6856.52
Individual, int64, 34, 1, 0.7, 4348.16, 10100.8, 7523.08
Individual, int64, 34, 1, 0.75, 4370.65, 11138.6, 8037.25
Individual, int64, 34, 1, 0.8, 4361.2, 11786.2, 8572.41
Individual, int64, 34, 1, 0.85, 4345.92, 12323.4, 9222.74
Individual, int64, 34, 1, 0.9, 4344.87, 13201.6, 9692.53
Individual, int64, 34, 1, 0.95, 4344.31, 13859.5, 10208.4
Individual, int64, 34, 1, 1, 4331.58, 14216.5, 10722.7
Individual, int64, 32, 1, 0, 3882.7, 89.4829, 29.268
Individual, int64, 32, 1, 0.05, 3888.24, 643.538, 539.031
Individual, int64, 32, 1, 0.1, 3901.52, 1428.67, 1011.58
Individual, int64, 32, 1, 0.15, 3891.59, 1985.26, 1374.77
Individual, int64, 32, 1, 0.2, 3890.21, 2730.51, 1978.03
Individual, int64, 32, 1, 0.25, 3882.9, 3142.02, 2376.75
Individual, int64, 32, 1, 0.3, 3894.07, 3705.22, 3120.38
Individual, int64, 32, 1, 0.35, 3890.72, 4167.63, 3669.1
Individual, int64, 32, 1, 0.4, 3888.89, 5195.24, 4064.55
Individual, int64, 32, 1, 0.45, 3890.3, 5704.69, 4577.51
Individual, int64, 32, 1, 0.5, 3914.96, 6400.77, 5014.84
Individual, int64, 32, 1, 0.55, 3888.4, 6702.25, 5456.1
Individual, int64, 32, 1, 0.6, 3888.16, 7622.21, 6140.23
Individual, int64, 32, 1, 0.65, 3885.76, 8096.94, 6662.55
Individual, int64, 32, 1, 0.7, 3899.02, 8892.45, 7224.54
Individual, int64, 32, 1, 0.75, 3908.16, 9711.42, 7717.79
