Output, Typename, NumOps, NumCols, Select, FullBitmap, PartialBitmap, SelVec
Individual, int64, 40, 1, 0, 1846.28, 49.7568, 29.3065
Individual, int64, 40, 1, 0.05, 1845.4, 441.512, 342.837
Individual, int64, 40, 1, 0.1, 1849.4, 809.824, 638.607
Individual, int64, 40, 1, 0.15, 1847.76, 956.436, 1027.22
Individual, int64, 40, 1, 0.2, 1851.32, 1360.48, 1269.67
Individual, int64, 40, 1, 0.25, 1852.47, 1604.25, 1539.17
Individual, int64, 40, 1, 0.3, 1851.51, 2068.53, 1884.24
Individual, int64, 40, 1, 0.35, 1854.26, 2482.76, 2249.97
Individual, int64, 40, 1, 0.4, 1851.38, 2747.16, 2493.14
Individual, int64, 40, 1, 0.45, 1853.31, 3017.05, 2794.86
Individual, int64, 40, 1, 0.5, 1853.58, 3244.38, 3105.4
Individual, int64, 40, 1, 0.55, 1854.05, 3825.37, 3482.76
Individual, int64, 40, 1, 0.6, 1852.19, 4014.18, 3766.77
Individual, int64, 40, 1, 0.65, 1852.14, 4398.61, 4146.36
Individual, int64, 40, 1, 0.7, 1852.67, 4779.58, 4368.54
Individual, int64, 40, 1, 0.75, 1853.36, 5004.57, 4559.63
Individual, int64, 40, 1, 0.8, 1852.37, 5489.69, 4968.76
Individual, int64, 40, 1, 0.85, 1854.15, 5705.83, 5255.61
Individual, int64, 40, 1, 0.9, 1852.14, 6021.05, 5605.41
Individual, int64, 40, 1, 0.95, 1853.66, 6255.82, 5908.1
Individual, int64, 40, 1, 1, 1851.79, 6486.68, 6214.5
Individual, int64, 38, 1, 0, 1766.95, 50.2594, 29.3509
Individual, int64, 38, 1, 0.05, 1771.28, 372.054, 354.236
Individual, int64, 38, 1, 0.1, 1766.79, 689.031, 559.887
Individual, int64, 38, 1, 0.15, 1772.71, 984.775, 940.318
Individual, int64, 38, 1, 0.2, 1768.54, 1319.12, 1181.33
Individual, int64, 38, 1, 0.25, 1773.74, 1639.28, 1495.88
Individual, int64, 38, 1, 0.3, 1772.05, 1924.93, 1773.54
Individual, int64, 38, 1, 0.35, 1773.23, 2326.21, 2070.51
Individual, int64, 38, 1, 0.4, 1775.06, 2793.85, 2184.85
Individual, int64, 38, 1, 0.45, 1774.42, 2993.91, 2482.65
Individual, int64, 38, 1, 0.5, 1775.21, 3239.5, 2860.47
Individual, int64, 38, 1, 0.55, 1771.62, 3490.82, 3271.78
Individual, int64, 38, 1, 0.6, 1775.67, 3965.95, 3588.35
Individual, int64, 38, 1, 0.65, 1774.16, 4163.14, 3817.39
Individual, int64, 38, 1, 0.7, 1775.18, 4419.47, 4043
Individual, int64, 38, 1, 0.75, 1775.66, 4655.27, 4255.15
Individual, int64, 38, 1, 0.8, 1778.17, 5112.36, 4612.69
Individual, int64, 38, 1, 0.85, 1774.32, 5377.82, 4926.32
Individual, int64, 38, 1, 0.9, 1775.44, 5738.15, 5184.56
Individual, int64, 38, 1, 0.95, 1773.93, 6034.64, 5476.28
Individual, int64, 38, 1, 1, 1777.45, 6276.41, 5740.28
Individual, int64, 36, 1, 0, 1625.62, 49.8745, 29.3792
Individual, int64, 36, 1, 0.05, 1626.24, 322.923, 319.095
Individual, int64, 36, 1, 0.1, 1629.5, 600.778, 554.178
Individual, int64, 36, 1, 0.15, 1627.87, 847.572, 870.607
Individual, int64, 36, 1, 0.2, 1630.49, 1147.48, 1182.37
Individual, int64, 36, 1, 0.25, 1627.35, 1653.92, 1565.8
