Output, Typename, NumOps, NumCols, Select, FullBitmap, PartialBitmap, SelVec
Individual, BitwiseOrPredicate, 0, 0, 0, 537.24, 48.201, 29.2965
Individual, BitwiseOrPredicate, 0, 0, 0.05, 537.084, 194.178, 146.705
Individual, BitwiseOrPredicate, 0, 0, 0.1, 538.105, 352.888, 225.79
Individual, BitwiseOrPredicate, 0, 0, 0.15, 544.385, 539.35, 367.063
Individual, BitwiseOrPredicate, 0, 0, 0.2, 546.39, 753.824, 500.055
Individual, BitwiseOrPredicate, 0, 0, 0.25, 547.075, 809.276, 604.862
Individual, BitwiseOrPredicate, 0, 0, 0.3, 547.278, 1071.53, 742.729
Individual, BitwiseOrPredicate, 0, 0, 0.35, 548.05, 1229.12, 841.113
Individual, BitwiseOrPredicate, 0, 0, 0.4, 548.399, 1353.83, 940.436
Individual, BitwiseOrPredicate, 0, 0, 0.45, 548.253, 1536.91, 1049.77
Individual, BitwiseOrPredicate, 0, 0, 0.5, 548.682, 1667.57, 1173.4
Individual, BitwiseOrPredicate, 0, 0, 0.55, 548.033, 1766.53, 1234.57
Individual, BitwiseOrPredicate, 0, 0, 0.6, 547.663, 1946.82, 1387.77
Individual, BitwiseOrPredicate, 0, 0, 0.65, 548.864, 2059.51, 1479.89
Individual, BitwiseOrPredicate, 0, 0, 0.7, 548.622, 2202.94, 1586.15
Individual, BitwiseOrPredicate, 0, 0, 0.75, 545.091, 2315.03, 1655.02
Individual, BitwiseOrPredicate, 0, 0, 0.8, 547.622, 2454.52, 1754.66
Individual, BitwiseOrPredicate, 0, 0, 0.85, 546.317, 2603.43, 1839.29
Individual, BitwiseOrPredicate, 0, 0, 0.9, 546.315, 2697.66, 1920.79
Individual, BitwiseOrPredicate, 0, 0, 0.95, 543.185, 2845.17, 1989.71
Individual, BitwiseOrPredicate, 0, 0, 1, 546.193, 2814.54, 2074.74
Individual, BitwiseAndPredicate, 0, 0, 0, 452.175, 48.11, 29.6015
Individual, BitwiseAndPredicate, 0, 0, 0.05, 452.401, 189.532, 151.434
Individual, BitwiseAndPredicate, 0, 0, 0.1, 454.725, 331.321, 261.191
Individual, BitwiseAndPredicate, 0, 0, 0.15, 464.468, 496.029, 356.07
Individual, BitwiseAndPredicate, 0, 0, 0.2, 465.024, 707.98, 468.444
Individual, BitwiseAndPredicate, 0, 0, 0.25, 465.848, 835.1, 581.631
Individual, BitwiseAndPredicate, 0, 0, 0.3, 469.137, 970.46, 675.415
Individual, BitwiseAndPredicate, 0, 0, 0.35, 469.886, 1138.81, 827.816
Individual, BitwiseAndPredicate, 0, 0, 0.4, 469.518, 1343.86, 903.924
Individual, BitwiseAndPredicate, 0, 0, 0.45, 469.097, 1456.46, 1028.6
Individual, BitwiseAndPredicate, 0, 0, 0.5, 469.637, 1620.48, 1136.13
