Output, Typename, NumOps, NumCols, Select, FullBitmap, PartialBitmap, SelVec
Individual, DivisionPredicate, 0, 0, 0, 12528.8, 48.248, 29.8429
Individual, DivisionPredicate, 0, 0, 0.05, 12512.8, 612.43, 651.006
Individual, DivisionPredicate, 0, 0, 0.1, 12503.9, 1395.8, 1291.32
Individual, DivisionPredicate, 0, 0, 0.15, 12510, 2183.48, 2028.34
Individual, DivisionPredicate, 0, 0, 0.2, 12559.1, 2550.05, 2409.53
Individual, DivisionPredicate, 0, 0, 0.25, 12552.2, 3228.6, 3210.14
Individual, DivisionPredicate, 0, 0, 0.3, 12562.4, 4311.35, 3781.92
Individual, DivisionPredicate, 0, 0, 0.35, 12558, 4848.31, 4275.72
Individual, DivisionPredicate, 0, 0, 0.4, 12567.4, 5227.21, 4997.74
Individual, DivisionPredicate, 0, 0, 0.45, 12568.5, 5745.18, 5488.89
Individual, DivisionPredicate, 0, 0, 0.5, 12569.2, 6468.09, 6438.33
Individual, DivisionPredicate, 0, 0, 0.55, 12557, 6890.28, 6881.38
Individual, DivisionPredicate, 0, 0, 0.6, 12540.5, 7520.95, 7519.48
Individual, DivisionPredicate, 0, 0, 0.65, 12526.5, 8358.88, 7695.3
Individual, DivisionPredicate, 0, 0, 0.7, 12528.7, 8947.01, 8593.98
Individual, DivisionPredicate, 0, 0, 0.75, 12532.6, 9749.51, 9379.48
Individual, DivisionPredicate, 0, 0, 0.8, 12527.1, 10343.9, 9936.09
Individual, DivisionPredicate, 0, 0, 0.85, 12502.2, 11107.5, 10696.2
Individual, DivisionPredicate, 0, 0, 0.9, 12518.6, 11760.8, 10957.5
Individual, DivisionPredicate, 0, 0, 0.95, 12513.9, 12200.9, 11691.7
Individual, DivisionPredicate, 0, 0, 1, 12527.7, 12883.1, 12341.2
