Output, Typename, NumOps, NumCols, Select, FullBitmap, PartialBitmap, SelVec
Individual, LogicalOrPredicate, 0, 0, 0, 2808.55, 48.1273, 29.5999
Individual, LogicalOrPredicate, 0, 0, 0.05, 2808.35, 194.857, 134.862
Individual, LogicalOrPredicate, 0, 0, 0.1, 2813.18, 267.16, 226.071
Individual, LogicalOrPredicate, 0, 0, 0.15, 2818.68, 428.011, 399.742
Individual, LogicalOrPredicate, 0, 0, 0.2, 2818.1, 573.873, 438.186
Individual, LogicalOrPredicate, 0, 0, 0.25, 2821.6, 755.351, 607.763
Individual, LogicalOrPredicate, 0, 0, 0.3, 2823.05, 895.243, 655.539
Individual, LogicalOrPredicate, 0, 0, 0.35, 2827.01, 1002.15, 900.51
Individual, LogicalOrPredicate, 0, 0, 0.4, 2824.19, 1161.03, 966.06
Individual, LogicalOrPredicate, 0, 0, 0.45, 2828.75, 1297.15, 1131.21
Individual, LogicalOrPredicate, 0, 0, 0.5, 2827.48, 1445.77, 1153.44
Individual, LogicalOrPredicate, 0, 0, 0.55, 2831.94, 1609.47, 1299.38
Individual, LogicalOrPredicate, 0, 0, 0.6, 2834.95, 1701.28, 1439.44
Individual, LogicalOrPredicate, 0, 0, 0.65, 2837.32, 1833.69, 1497.54
Individual, LogicalOrPredicate, 0, 0, 0.7, 2836.99, 2035.78, 1602.69
Individual, LogicalOrPredicate, 0, 0, 0.75, 2836.61, 2067.22, 1775.35
Individual, LogicalOrPredicate, 0, 0, 0.8, 2835.21, 2200.33, 1923.87
Individual, LogicalOrPredicate, 0, 0, 0.85, 2842.86, 2345.96, 1982.56
Individual, LogicalOrPredicate, 0, 0, 0.9, 2847.3, 2432.9, 2063.14
Individual, LogicalOrPredicate, 0, 0, 0.95, 2844.24, 2554.63, 2195.46
Individual, LogicalOrPredicate, 0, 0, 1, 2842.72, 2741.87, 2280.64
Individual, LogicalAndPredicate, 0, 0, 0, 2943.84, 47.935, 29.9173
Individual, LogicalAndPredicate, 0, 0, 0.05, 2963.8, 193.832, 164.733
Individual, LogicalAndPredicate, 0, 0, 0.1, 2946.9, 281.652, 275.553
Individual, LogicalAndPredicate, 0, 0, 0.15, 2967.86, 387.324, 409.79
Individual, LogicalAndPredicate, 0, 0, 0.2, 2975.27, 512.848, 514.702
Individual, LogicalAndPredicate, 0, 0, 0.25, 2974.85, 629.441, 706.137
Individual, LogicalAndPredicate, 0, 0, 0.3, 2976.12, 749.752, 843.941
Individual, LogicalAndPredicate, 0, 0, 0.35, 2976.89, 899.045, 893.229
Individual, LogicalAndPredicate, 0, 0, 0.4, 2975.68, 1057.01, 1056.31
Individual, LogicalAndPredicate, 0, 0, 0.45, 2975.6, 1187.77, 1141.99
Individual, LogicalAndPredicate, 0, 0, 0.5, 2985.84, 1290.96, 1284.83
Individual, LogicalAndPredicate, 0, 0, 0.55, 2980.72, 1448.47, 1366.35
Individual, LogicalAndPredicate, 0, 0, 0.6, 2983.53, 1479.76, 1552
Individual, LogicalAndPredicate, 0, 0, 0.65, 2983.64, 1652.16, 1725.4
Individual, LogicalAndPredicate, 0, 0, 0.7, 2982.96, 1792.81, 1792.73
Individual, LogicalAndPredicate, 0, 0, 0.75, 2983.56, 1848.83, 1941.18
Individual, LogicalAndPredicate, 0, 0, 0.8, 2987.96, 1990.65, 1971.38
Individual, LogicalAndPredicate, 0, 0, 0.85, 2987.05, 2106.52, 2154.2
Individual, LogicalAndPredicate, 0, 0, 0.9, 2990.76, 2209.43, 2294.4
Individual, LogicalAndPredicate, 0, 0, 0.95, 2987.86, 2295.98, 2481.53
Individual, LogicalAndPredicate, 0, 0, 1, 2990.23, 2546.16, 2594.1
Individual, BitwiseOrPredicate, 0, 0, 0, 535.952, 48.3868, 29.3594
Individual, BitwiseOrPredicate, 0, 0, 0.05, 538.545, 188.998, 151.956
Individual, BitwiseOrPredicate, 0, 0, 0.1, 539.286, 350.984, 235.55
Individual, BitwiseOrPredicate, 0, 0, 0.15, 540.728, 444.409, 353.5
Individual, BitwiseOrPredicate, 0, 0, 0.2, 544.52, 654.305, 487.764
Individual, BitwiseOrPredicate, 0, 0, 0.25, 544.465, 890.172, 610.554
Individual, BitwiseOrPredicate, 0, 0, 0.3, 546.808, 1008.2, 701.919
Individual, BitwiseOrPredicate, 0, 0, 0.35, 546.249, 1130.88, 911.164
Individual, BitwiseOrPredicate, 0, 0, 0.4, 546.044, 1279.45, 946.022
Individual, BitwiseOrPredicate, 0, 0, 0.45, 547.619, 1469.41, 1072.91
Individual, BitwiseOrPredicate, 0, 0, 0.5, 547.671, 1621.59, 1211.2
Individual, BitwiseOrPredicate, 0, 0, 0.55, 546.174, 1851.74, 1300.5
Individual, BitwiseOrPredicate, 0, 0, 0.6, 546.194, 1927.01, 1433.8
Individual, BitwiseOrPredicate, 0, 0, 0.65, 546.301, 2051.6, 1470.2
Individual, BitwiseOrPredicate, 0, 0, 0.7, 547.669, 2126.58, 1632.64
Individual, BitwiseOrPredicate, 0, 0, 0.75, 545.61, 2279.77, 1650.15
Individual, BitwiseOrPredicate, 0, 0, 0.8, 546.783, 2469.79, 1789.5
Individual, BitwiseOrPredicate, 0, 0, 0.85, 547.809, 2631.31, 1898.52
Individual, BitwiseOrPredicate, 0, 0, 0.9, 548.68, 2712.57, 1978.64
Individual, BitwiseOrPredicate, 0, 0, 0.95, 547.611, 2832.19, 2027.71
Individual, BitwiseOrPredicate, 0, 0, 1, 546.249, 2818.02, 2117.93
Individual, BitwiseAndPredicate, 0, 0, 0, 453.579, 48.4452, 29.3803
Individual, BitwiseAndPredicate, 0, 0, 0.05, 455.13, 227.275, 137.347
Individual, BitwiseAndPredicate, 0, 0, 0.1, 457.333, 326.18, 246.646
Individual, BitwiseAndPredicate, 0, 0, 0.15, 463.443, 532.719, 339.442
Individual, BitwiseAndPredicate, 0, 0, 0.2, 464.993, 660.816, 536.351
Individual, BitwiseAndPredicate, 0, 0, 0.25, 464.624, 839.545, 606.489
Individual, BitwiseAndPredicate, 0, 0, 0.3, 466.05, 990.506, 681.884
Individual, BitwiseAndPredicate, 0, 0, 0.35, 465.789, 1185.59, 817.21
Individual, BitwiseAndPredicate, 0, 0, 0.4, 467.773, 1353.85, 962.132
Individual, BitwiseAndPredicate, 0, 0, 0.45, 468.735, 1487.99, 1041.85
Individual, BitwiseAndPredicate, 0, 0, 0.5, 468.889, 1643.65, 1136.64
Individual, BitwiseAndPredicate, 0, 0, 0.55, 470.53, 1818.38, 1266.25
Individual, BitwiseAndPredicate, 0, 0, 0.6, 470.398, 1922.97, 1365.74
Individual, BitwiseAndPredicate, 0, 0, 0.65, 469.247, 2058.08, 1451.29
Individual, BitwiseAndPredicate, 0, 0, 0.7, 469.229, 2153.9, 1582.29
Individual, BitwiseAndPredicate, 0, 0, 0.75, 469.582, 2336.2, 1669.46
Individual, BitwiseAndPredicate, 0, 0, 0.8, 469.594, 2465.19, 1761.09
Individual, BitwiseAndPredicate, 0, 0, 0.85, 468.679, 2630, 1813.91
Individual, BitwiseAndPredicate, 0, 0, 0.9, 469.196, 2699.69, 1909.37
Individual, BitwiseAndPredicate, 0, 0, 0.95, 468.356, 2812.85, 1974.94
Individual, BitwiseAndPredicate, 0, 0, 1, 465.865, 2818.38, 2064.87
