Output, Typename, NumOps, NumCols, Select, FullBitmap, PartialBitmap, SelVec
Individual, LogicalOrProjection, 0, 0, 0, 1425.74, 42.9795, 29.5041
Individual, LogicalOrProjection, 0, 0, 0.05, 1430.42, 146.631, 106.74
Individual, LogicalOrProjection, 0, 0, 0.1, 1428.47, 246.54, 214.027
Individual, LogicalOrProjection, 0, 0, 0.15, 1429.19, 359.335, 302.226
Individual, LogicalOrProjection, 0, 0, 0.2, 1437.2, 484.29, 380.001
Individual, LogicalOrProjection, 0, 0, 0.25, 1441.48, 587.513, 486.81
Individual, LogicalOrProjection, 0, 0, 0.3, 1440.21, 678.783, 522.909
Individual, LogicalOrProjection, 0, 0, 0.35, 1436.19, 836.561, 690.336
Individual, LogicalOrProjection, 0, 0, 0.4, 1426.43, 939.013, 735.495
Individual, LogicalOrProjection, 0, 0, 0.45, 1427.37, 1143.27, 855.369
Individual, LogicalOrProjection, 0, 0, 0.5, 1427.47, 1207.15, 956.272
Individual, LogicalOrProjection, 0, 0, 0.55, 1428.11, 1302.51, 1052.2
Individual, LogicalOrProjection, 0, 0, 0.6, 1427.8, 1397.22, 1096.8
Individual, LogicalOrProjection, 0, 0, 0.65, 1427.1, 1444.43, 1234.59
Individual, LogicalOrProjection, 0, 0, 0.7, 1427.21, 1601.51, 1329.91
Individual, LogicalOrProjection, 0, 0, 0.75, 1429.12, 1675.88, 1426.46
Individual, LogicalOrProjection, 0, 0, 0.8, 1428.85, 1803.28, 1464.01
Individual, LogicalOrProjection, 0, 0, 0.85, 1430.7, 1879.35, 1558.77
Individual, LogicalOrProjection, 0, 0, 0.9, 1430.82, 1960.35, 1662.31
Individual, LogicalOrProjection, 0, 0, 0.95, 1430.83, 2085.05, 1763.56
Individual, LogicalOrProjection, 0, 0, 1, 1431.4, 2248.54, 1850.69
Individual, LogicalAndProjection, 0, 0, 0, 1312.78, 43.3236, 29.4615
Individual, LogicalAndProjection, 0, 0, 0.05, 1310.17, 151.017, 113.858
Individual, LogicalAndProjection, 0, 0, 0.1, 1314.92, 237.531, 201.957
Individual, LogicalAndProjection, 0, 0, 0.15, 1318.69, 359.504, 273.209
Individual, LogicalAndProjection, 0, 0, 0.2, 1318.03, 457.833, 349.077
Individual, LogicalAndProjection, 0, 0, 0.25, 1308.13, 534.794, 438.341
Individual, LogicalAndProjection, 0, 0, 0.3, 1308.9, 647.58, 522.992
Individual, LogicalAndProjection, 0, 0, 0.35, 1302.86, 795.161, 621.797
Individual, LogicalAndProjection, 0, 0, 0.4, 1301.66, 920.316, 686.952
Individual, LogicalAndProjection, 0, 0, 0.45, 1303.16, 944.521, 803.843
Individual, LogicalAndProjection, 0, 0, 0.5, 1302.96, 1106.06, 839.32
Individual, LogicalAndProjection, 0, 0, 0.55, 1301.96, 1280.7, 934.427
Individual, LogicalAndProjection, 0, 0, 0.6, 1297.33, 1265.38, 988.386
Individual, LogicalAndProjection, 0, 0, 0.65, 1297.45, 1293.04, 1114.75
Individual, LogicalAndProjection, 0, 0, 0.7, 1297.63, 1475.63, 1196.06
Individual, LogicalAndProjection, 0, 0, 0.75, 1299.03, 1524.61, 1270.3
Individual, LogicalAndProjection, 0, 0, 0.8, 1297.46, 1684.03, 1391.98
Individual, LogicalAndProjection, 0, 0, 0.85, 1298.85, 1770.95, 1482.78
Individual, LogicalAndProjection, 0, 0, 0.9, 1297.93, 1806.57, 1500.96
Individual, LogicalAndProjection, 0, 0, 0.95, 1298.05, 1917.47, 1630
Individual, LogicalAndProjection, 0, 0, 1, 1299.1, 2140.23, 1747.77
Individual, BitwiseOrProjection, 0, 0, 0, 381.789, 42.4492, 29.3535
Individual, BitwiseOrProjection, 0, 0, 0.05, 379.481, 157.131, 105.309
Individual, BitwiseOrProjection, 0, 0, 0.1, 381.466, 329.979, 216.19
Individual, BitwiseOrProjection, 0, 0, 0.15, 387.85, 447.747, 289.431
Individual, BitwiseOrProjection, 0, 0, 0.2, 389.626, 548.984, 428.439
Individual, BitwiseOrProjection, 0, 0, 0.25, 391.903, 738.255, 481.289
Individual, BitwiseOrProjection, 0, 0, 0.3, 392.292, 905.403, 585.663
