Output, Typename, NumOps, NumCols, Select, FullBitmap, PartialBitmap, SelVec
Individual, String, 0, 0, 0, 18563.8, 43.334, 29.7232
Individual, String, 0, 0, 0.05, 18694.5, 526.837, 332.229
Individual, String, 0, 0, 0.1, 18701, 797.734, 736.265
Individual, String, 0, 0, 0.15, 18751.7, 1243.74, 1137.88
Individual, String, 0, 0, 0.2, 18665.2, 1612.35, 1516.45
Individual, String, 0, 0, 0.25, 18646.2, 2274.99, 1658.31
Individual, String, 0, 0, 0.3, 18666.3, 2504.89, 2257.26
Individual, String, 0, 0, 0.35, 18628.3, 2717.68, 2745.6
Individual, String, 0, 0, 0.4, 18688.9, 3220.75, 3047.02
Individual, String, 0, 0, 0.45, 18611.3, 4189.92, 4024.17
Individual, String, 0, 0, 0.5, 18668.4, 4800.54, 6015.3
Individual, String, 0, 0, 0.55, 18675.3, 6634.22, 6664.78
Individual, String, 0, 0, 0.6, 18681.4, 6948.26, 7262.39
Individual, String, 0, 0, 0.65, 18683.1, 9285.62, 9464.6
Individual, String, 0, 0, 0.7, 18663.7, 9650.9, 10862.4
Individual, String, 0, 0, 0.75, 18679.3, 10997.5, 11710.5
Individual, String, 0, 0, 0.8, 18611.3, 12401.6, 13722.8
Individual, String, 0, 0, 0.85, 18688, 13683.8, 14252.3
Individual, String, 0, 0, 0.9, 18650.8, 14956.6, 15768.2
Individual, String, 0, 0, 0.95, 18688, 16305, 16869.9
Individual, String, 0, 0, 1, 18646.1, 17511.3, 18438.7
