Output, Typename, NumOps, NumCols, Select, FullBitmap, PartialBitmap, SelVec
Individual, StringFilter, 0, 0, 0, 9720.7, 106.046, 29.5976
Individual, StringFilter, 0, 0, 0.05, 9714.37, 527.101, 478.519
Individual, StringFilter, 0, 0, 0.1, 9703.92, 1002.81, 995.515
Individual, StringFilter, 0, 0, 0.15, 9710.45, 1281.35, 1471.68
Individual, StringFilter, 0, 0, 0.2, 9725.05, 2185.54, 2055.81
Individual, StringFilter, 0, 0, 0.25, 9699.68, 2314.38, 2435.77
Individual, StringFilter, 0, 0, 0.3, 9733.39, 3199.62, 2925.38
Individual, StringFilter, 0, 0, 0.35, 9721.62, 3809.19, 3474.99
Individual, StringFilter, 0, 0, 0.4, 9708.45, 4280.43, 4044.09
Individual, StringFilter, 0, 0, 0.45, 9722.53, 4663.63, 4567.13
Individual, StringFilter, 0, 0, 0.5, 9700.92, 5270.38, 5573.99
Individual, StringFilter, 0, 0, 0.55, 9712.94, 5999.91, 5618.45
Individual, StringFilter, 0, 0, 0.6, 9716.54, 6264.08, 6288.64
Individual, StringFilter, 0, 0, 0.65, 9728.77, 7035.23, 6380.76
Individual, StringFilter, 0, 0, 0.7, 9705.37, 7421.58, 7255.91
Individual, StringFilter, 0, 0, 0.75, 9719.74, 7604.73, 7857.78
Individual, StringFilter, 0, 0, 0.8, 9733.38, 8657.54, 8530.61
Individual, StringFilter, 0, 0, 0.85, 9715.65, 8997.04, 8923.65
Individual, StringFilter, 0, 0, 0.9, 9722.68, 9665.74, 9446.43
Individual, StringFilter, 0, 0, 0.95, 9705.91, 10121, 9886.84
Individual, StringFilter, 0, 0, 1, 9717.67, 10580.8, 10405.3
