Output, Typename, NumOps, NumCols, Select, FullBitmap, PartialBitmap, SelVec
Individual, String, 0, 0, 0, 6562.57, 43.2542, 29.6245
Individual, String, 0, 0, 0.05, 6562.96, 493.363, 304.401
Individual, String, 0, 0, 0.1, 6572.19, 890.662, 806.267
Individual, String, 0, 0, 0.15, 6569.62, 1257.09, 966.239
Individual, String, 0, 0, 0.2, 6572.84, 1621.33, 1383.15
Individual, String, 0, 0, 0.25, 6567.69, 2177.76, 1735.96
Individual, String, 0, 0, 0.3, 6567.48, 2355.28, 2218.59
Individual, String, 0, 0, 0.35, 6576.4, 2775.67, 2699.61
Individual, String, 0, 0, 0.4, 6575.02, 3366.87, 3040.55
Individual, String, 0, 0, 0.45, 6579.34, 3781.01, 4087.26
Individual, String, 0, 0, 0.5, 6575.7, 4738, 4502.95
Individual, String, 0, 0, 0.55, 6577.57, 5374.02, 5462.1
Individual, String, 0, 0, 0.6, 6574.7, 6071.44, 6258.47
Individual, String, 0, 0, 0.65, 6577.95, 6371.09, 6711.35
Individual, String, 0, 0, 0.7, 6581.49, 7090.2, 6789.88
Individual, String, 0, 0, 0.75, 6577.98, 7190.02, 7033.57
Individual, String, 0, 0, 0.8, 6581.87, 7520.18, 6988.95
Individual, String, 0, 0, 0.85, 6569.1, 7900.82, 7076.73
Individual, String, 0, 0, 0.9, 6566.71, 7859.99, 7482.06
Individual, String, 0, 0, 0.95, 6569.88, 8250.07, 7231.58
Individual, String, 0, 0, 1, 6581.37, 7899.24, 6416.58
