Output, Typename, NumOps, NumCols, Select, FullBitmap, PartialBitmap, SelVec
Individual, hash_t, 10, 1, 0, 11916.7, 64.4234, 29.8358
Individual, hash_t, 10, 1, 0.05, 11942.7, 530.402, 457.095
Individual, hash_t, 10, 1, 0.1, 11972.6, 926.156, 877.101
Individual, hash_t, 10, 1, 0.15, 11997.5, 1470.84, 1370.94
Individual, hash_t, 10, 1, 0.2, 11955, 1978.33, 1920.13
Individual, hash_t, 10, 1, 0.25, 11933, 2482.43, 2348.47
Individual, hash_t, 10, 1, 0.3, 11920, 2914.04, 3021.6
Individual, hash_t, 10, 1, 0.35, 11913.1, 3452.51, 3528.25
Individual, hash_t, 10, 1, 0.4, 11914.5, 4124.21, 4008.29
Individual, hash_t, 10, 1, 0.45, 11946.5, 4559.56, 4575.93
Individual, hash_t, 10, 1, 0.5, 11954.3, 5067.45, 5096.06
Individual, hash_t, 10, 1, 0.55, 11929.5, 5700.75, 5772.33
Individual, hash_t, 10, 1, 0.6, 11911.4, 6412.8, 6223.7
Individual, hash_t, 10, 1, 0.65, 11923.8, 6881.52, 7041.48
Individual, hash_t, 10, 1, 0.7, 11871.8, 7687.07, 7598.69
Individual, hash_t, 10, 1, 0.75, 11928.5, 7883.87, 8189.76
Individual, hash_t, 10, 1, 0.8, 11849.8, 9041.06, 9142.14
Individual, hash_t, 10, 1, 0.85, 11904, 9795.45, 9618.34
Individual, hash_t, 10, 1, 0.9, 11915.1, 10324.8, 10039.9
Individual, hash_t, 10, 1, 0.95, 11917.2, 11019.6, 10892.4
Individual, hash_t, 10, 1, 1, 11932, 11753.1, 11411.6
